Player,Champion,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,Team
DuDu,Aatrox,TOP,15,3,4,0,0.8,228,12.0,,8.1,9501,338,22.3%,18.0,8.0,3.0,2.0,2,0.64,0.28,0.07,0.11,9.9%,16135,15823,0,312,575,21.8%,0.11,60%,,0.0,0.0,0.0,0.0,-1775.0,-31.0,-944.0,-1.0,0,0.0,0,9106.0,0,24889.0,0,22.0,228,29452.0,129,3,19,0,0,KDF
YoungJae,Maokai,JUNGLE,12,1,6,3,0.7,123,100.0,,4.4,8146,290,19.1%,36.0,14.0,5.0,13.0,11,1.28,0.5,0.46,0.18,19.8%,17806,847,13719,3240,634,24.1%,0.14,80%,,0.0,0.0,0.0,0.0,-95.0,8.0,-226.0,0.0,0,0.0,0,13617.0,133,22177.0,0,46.0,463,31373.0,168,14,28,0,0,KDF
Bulldog,Azir,MID,14,0,5,3,0.6,222,4.0,,7.9,8802,313,20.6%,29.0,13.0,3.0,8.0,6,1.03,0.46,0.28,0.11,15.9%,15032,246,14572,214,535,20.3%,0.11,60%,,0.0,0.0,0.0,0.0,-1405.0,-10.0,34.0,0.0,0,434.0,434,307.0,0,11437.0,0,12.0,149,15847.0,162,11,28,0,0,KDF
Taeyoon,Zeri,ADC,13,1,5,3,0.8,280,0.0,,10.0,10802,385,25.3%,34.0,13.0,13.0,4.0,4,1.21,0.46,0.14,0.46,18.7%,19196,12065,6925,206,684,25.9%,0.14,80%,,0.0,0.0,0.0,0.0,181.0,18.0,252.0,0.0,0,1855.0,1855,887.0,0,9885.0,0,4.0,60,14606.0,135,6,21,0,0,KDF
Andil,Braum,SUPPORT,11,0,5,3,0.6,26,0.0,,0.9,5444,194,12.8%,65.0,33.0,5.0,9.0,9,2.31,1.18,0.32,0.18,35.7%,5864,719,4475,670,209,7.9%,0.11,60%,,0.0,0.0,0.0,0.0,-52.0,-3.0,213.0,0.0,0,0.0,0,1068.0,500,18413.0,1293,21.0,112,15694.0,126,11,22,0,0,KDF
DuDu,K'Sante,TOP,15,1,3,0,0.3,253,8.0,,8.3,10674,349,22.7%,27.0,8.0,4.0,3.0,3,0.88,0.26,0.1,0.13,12.4%,11881,10157,1362,362,388,20.8%,0.03,50%,,0.0,0.0,0.0,0.0,-72.0,2.0,144.0,0.0,0,1669.0,1669,1241.0,0,30643.0,0,26.0,3210,18141.0,129,6,24,0,100,KDF
YoungJae,Viego,JUNGLE,14,0,3,1,0.3,184,159.0,,6.0,9204,301,19.5%,48.0,16.0,9.0,15.0,14,1.57,0.52,0.49,0.29,22%,5824,5028,433,363,190,10.2%,0.03,50%,,0.0,0.0,0.0,0.0,-46.0,4.0,-386.0,0.0,0,0.0,0,9465.0,0,21778.0,0,9.0,134,18478.0,35,16,34,0,0,KDF
Bulldog,LeBlanc,MID,15,1,2,0,0.5,273,0.0,,8.9,11087,362,23.5%,34.0,9.0,12.0,6.0,6,1.11,0.29,0.2,0.39,15.6%,18832,5232,13439,161,615,33%,0.03,50%,,0.0,0.0,0.0,0.0,709.0,13.0,669.0,0.0,0,3052.0,3052,4694.0,0,14267.0,0,16.0,40,18464.0,46,7,26,0,100,KDF
Taeyoon,Zeri,ADC,14,0,4,1,0.3,252,4.0,,8.2,10188,333,21.6%,33.0,15.0,8.0,6.0,5,1.08,0.49,0.2,0.26,15.1%,16460,9880,6445,135,538,28.8%,0.03,50%,,0.0,0.0,0.0,0.0,-453.0,0.0,10.0,0.0,0,478.0,478,1927.0,0,11001.0,0,5.0,102,16497.0,149,7,23,0,0,KDF
Andil,Braum,SUPPORT,10,0,4,1,0.3,29,0.0,,0.9,5944,194,12.6%,76.0,41.0,4.0,13.0,11,2.48,1.34,0.42,0.13,34.9%,4089,490,3584,15,134,7.2%,0.03,50%,,0.0,0.0,0.0,0.0,-813.0,-4.0,-323.0,0.0,0,0.0,0,810.0,280,17730.0,953,22.0,121,15242.0,98,17,31,0,0,KDF
Rascal,Renekton,TOP,17,1,1,8,9,269,12.0,,8.8,12572,411,21.8%,36.0,12.0,8.0,7.0,7,1.18,0.39,0.23,0.26,15.1%,13455,11406,2049,0,439,19.9%,0.29,56.3%,,0.0,0.0,0.0,0.0,72.0,-2.0,-144.0,0.0,0,5180.0,5180,15635.0,0,26725.0,0,20.0,53,33598.0,21,8,25,0,0,DRX
Croco,Lee Sin,JUNGLE,14,4,0,10,Perfect KDA,146,126.0,,4.8,10938,357,18.9%,47.0,20.0,9.0,10.0,10,1.54,0.65,0.33,0.29,19.7%,12027,9382,2245,400,393,17.8%,0.46,87.5%,,0.0,0.0,0.0,0.0,46.0,-4.0,386.0,0.0,0,2076.0,2076,15960.0,0,35811.0,2179,19.0,624,23980.0,0,11,24,100,0,DRX
FATE,Annie,MID,15,2,1,10,12,209,0.0,,6.8,10772,352,18.7%,31.0,8.0,9.0,5.0,5,1.01,0.26,0.16,0.29,13%,15679,694,14985,0,512,23.2%,0.39,75%,,0.0,0.0,0.0,0.0,-709.0,-13.0,-669.0,0.0,0,2657.0,2657,1697.0,0,8393.0,2590,31.0,332,9230.0,27,9,23,0,0,DRX
Paduck,Xayah,ADC,15,7,0,4,Perfect KDA,305,12.0,,10.0,14804,484,25.6%,36.0,15.0,7.0,9.0,7,1.18,0.49,0.29,0.23,15.1%,21756,21388,0,368,711,32.1%,0.36,68.8%,,1.0,1.0,0.0,0.0,453.0,0.0,-10.0,0.0,0,7470.0,7470,5141.0,0,9857.0,0,16.0,118,12662.0,0,10,25,0,0,DRX
BeryL,Rell,SUPPORT,12,2,0,10,Perfect KDA,31,0.0,,1.0,8651,283,15%,88.0,42.0,9.0,12.0,11,2.87,1.37,0.39,0.29,37%,4781,668,3199,914,156,7.1%,0.39,75%,,0.0,0.0,0.0,0.0,813.0,4.0,323.0,0.0,0,499.0,499,1051.0,0,11504.0,0,35.0,143,7099.0,0,14,28,100,0,DRX
Morgan,Renekton,TOP,17,2,0,4,Perfect KDA,302,10.0,,10.8,12475,446,22.5%,31.0,9.0,6.0,4.0,4,1.11,0.32,0.14,0.21,11.9%,9740,8797,943,0,348,22%,0.21,50%,,0.0,0.0,0.0,0.0,1031.0,25.0,259.0,0.0,0,4187.0,4187,10239.0,0,18696.0,0,15.0,41,23292.0,0,5,24,0,0,BRION
UmTi,Maokai,JUNGLE,14,1,2,9,5,149,135.0,,5.3,9624,344,17.3%,35.0,8.0,5.0,7.0,7,1.25,0.29,0.25,0.18,13.5%,10780,390,9410,980,385,24.3%,0.36,83.3%,,0.0,0.0,0.0,0.0,-264.0,-27.0,-1071.0,-1.0,0,330.0,330,16227.0,1087,19329.0,0,30.0,518,24873.0,14,8,21,0,0,BRION
Karis,Tristana,MID,16,5,0,3,Perfect KDA,281,8.0,,10.0,13081,467,23.6%,36.0,8.0,10.0,6.0,6,1.29,0.29,0.21,0.36,13.8%,10938,9722,1216,0,391,24.7%,0.29,66.7%,,0.0,0.0,0.0,0.0,439.0,0.0,263.0,0.0,0,10989.0,10989,4252.0,0,8975.0,0,2.0,19,9583.0,0,7,21,150,0,BRION
Hena,Xayah,ADC,15,4,0,4,Perfect KDA,285,24.0,,10.2,13260,474,23.9%,42.0,15.0,14.0,6.0,6,1.5,0.54,0.21,0.5,16.2%,10503,9768,669,66,375,23.7%,0.29,66.7%,,0.0,0.0,0.0,0.0,327.0,-2.0,385.0,1.0,0,3447.0,3447,4392.0,586,4914.0,0,11.0,58,10252.0,0,7,23,0,0,BRION
Effort,Leona,SUPPORT,11,0,1,7,7,40,0.0,,1.4,7031,251,12.7%,116.0,61.0,16.0,19.0,19,4.14,2.18,0.68,0.57,44.6%,2384,522,1382,480,85,5.4%,0.25,58.3%,,0.0,0.0,0.0,0.0,251.0,4.0,534.0,0.0,0,390.0,390,478.0,0,10133.0,435,26.0,78,9945.0,12,21,34,0,0,BRION
Doran,K'Sante,TOP,16,0,1,0,0,244,1.0,,8.7,9487,339,20%,29.0,11.0,5.0,5.0,4,1.04,0.39,0.18,0.18,11.4%,10068,8408,1568,92,360,21.5%,0.0,0%,,0.0,0.0,0.0,0.0,-1031.0,-25.0,-259.0,0.0,0,359.0,359,3650.0,0,31933.0,112,20.0,3781,17554.0,0,6,23,0,0,GEN
Peanut,Rumble,JUNGLE,14,0,1,2,2,232,194.0,,8.3,10109,361,21.3%,46.0,8.0,10.0,6.0,6,1.64,0.29,0.21,0.36,18%,8379,135,6695,1549,299,17.9%,0.07,66.7%,,0.0,0.0,0.0,0.0,264.0,27.0,1071.0,1.0,0,1270.0,1270,12737.0,0,22149.0,0,8.0,502,20848.0,0,7,15,0,0,GEN
Chovy,Jayce,MID,15,2,4,1,0.8,272,7.0,,9.7,10521,376,22.2%,44.0,9.0,18.0,8.0,5,1.57,0.32,0.29,0.64,17.3%,13215,11754,1461,0,472,28.3%,0.11,100%,,1.0,0.0,0.0,0.0,-439.0,0.0,-263.0,0.0,0,2749.0,2749,1145.0,0,9685.0,0,5.0,94,11340.0,84,8,29,0,100,GEN
Peyz,Kai'Sa,ADC,15,1,2,2,1.5,306,14.0,,10.9,11430,408,24.1%,42.0,21.0,9.0,3.0,3,1.5,0.75,0.11,0.32,16.5%,12490,4261,8229,0,446,26.7%,0.11,100%,,0.0,0.0,0.0,0.0,-327.0,2.0,-385.0,-1.0,0,916.0,916,2108.0,0,6458.0,0,0.0,46,9240.0,14,4,20,0,50,GEN
Delight,Nautilus,SUPPORT,10,0,4,2,0.5,29,0.0,,1.0,5859,209,12.4%,94.0,50.0,10.0,13.0,12,3.36,1.79,0.46,0.36,36.9%,2599,292,1372,935,93,5.6%,0.07,66.7%,,0.0,0.0,0.0,0.0,-251.0,-4.0,-534.0,0.0,0,0.0,0,229.0,0,11614.0,0,19.0,116,9264.0,72,16,28,0,0,GEN
Doran,Aatrox,TOP,15,1,6,4,0.8,206,19.0,,6.5,9712,305,18.5%,17.0,7.0,3.0,2.0,2,0.53,0.22,0.06,0.09,6.7%,16640,16594,0,46,523,18.7%,0.16,55.6%,,0.0,0.0,0.0,0.0,-1438.0,-29.0,-1288.0,-1.0,0,117.0,117,9270.0,0,23752.0,0,23.0,155,31605.0,190,3,23,0,0,GEN
Peanut,Skarner,JUNGLE,14,1,2,6,3.5,171,135.0,,5.4,9943,313,18.9%,33.0,11.0,7.0,6.0,6,1.04,0.35,0.19,0.22,13.1%,6607,2082,3038,1487,208,7.4%,0.22,77.8%,,0.0,0.0,0.0,0.0,-2.0,-15.0,-547.0,-1.0,0,0.0,0,11396.0,0,48907.0,0,33.0,812,22473.0,70,7,22,0,0,GEN
Chovy,Tristana,MID,16,4,2,5,4.5,307,26.0,,9.7,13963,439,26.6%,48.0,12.0,19.0,4.0,4,1.51,0.38,0.13,0.6,19%,29162,26742,1881,539,917,32.9%,0.28,100%,,0.0,0.0,0.0,0.0,775.0,-6.0,177.0,0.0,0,7934.0,7934,8379.0,0,15900.0,0,6.0,53,21544.0,45,5,30,0,500,GEN
Peyz,Kai'Sa,ADC,14,3,3,4,2.3,266,12.0,,8.4,12298,387,23.4%,60.0,33.0,15.0,9.0,8,1.89,1.04,0.28,0.47,23.8%,31103,9215,21825,63,978,35%,0.22,77.8%,,0.0,0.0,0.0,0.0,233.0,-1.0,-226.0,0.0,0,842.0,842,3381.0,0,8380.0,0,0.0,76,15914.0,90,13,33,50,100,GEN
Delight,Nautilus,SUPPORT,11,0,6,7,1.2,30,0.0,,0.9,6596,207,12.6%,94.0,60.0,7.0,17.0,15,2.96,1.89,0.53,0.22,37.3%,5256,747,3484,1025,165,5.9%,0.22,77.8%,,0.0,0.0,0.0,0.0,-115.0,-7.0,45.0,0.0,0,0.0,0,408.0,0,24105.0,0,37.0,196,15615.0,203,19,32,0,0,GEN
Morgan,Renekton,TOP,17,5,4,8,3.3,257,12.0,,8.1,14175,446,22.7%,27.0,11.0,3.0,6.0,6,0.85,0.35,0.19,0.09,9.9%,20639,16811,3828,0,649,23.8%,0.41,68.4%,1.0,0.0,0.0,0.0,0.0,1438.0,29.0,1288.0,1.0,0,4859.0,4859,17964.0,0,42453.0,0,14.0,40,43501.0,152,7,25,0,50,BRION
UmTi,Lillia,JUNGLE,16,7,2,7,7,218,176.0,,6.9,13684,430,21.9%,56.0,7.0,15.0,6.0,6,1.76,0.22,0.19,0.47,20.5%,17922,320,12643,4959,564,20.6%,0.44,73.7%,,0.0,0.0,1.0,0.0,2.0,15.0,547.0,1.0,0,1250.0,1250,26266.0,0,23437.0,0,20.0,441,38847.0,72,8,26,550,0,BRION
Karis,Jayce,MID,17,4,0,8,Perfect KDA,291,4.0,,9.2,13564,427,21.7%,44.0,12.0,11.0,8.0,8,1.38,0.38,0.25,0.35,16.1%,23530,21914,1616,0,740,27.1%,0.38,63.2%,,0.0,0.0,0.0,0.0,-775.0,6.0,-177.0,0.0,0,7125.0,7125,4583.0,0,10992.0,0,5.0,82,12323.0,0,10,31,50,0,BRION
Hena,Kog'Maw,ADC,14,2,1,10,12,259,8.0,,8.1,12696,399,20.3%,43.0,15.0,22.0,5.0,5,1.35,0.47,0.16,0.69,15.8%,20193,9386,10365,442,635,23.2%,0.38,63.2%,,0.0,0.0,0.0,0.0,-233.0,1.0,226.0,0.0,0,6752.0,6752,4077.0,0,9581.0,0,12.0,417,14028.0,40,6,23,0,0,BRION
Effort,Braum,SUPPORT,13,1,2,14,7.5,42,0.0,,1.3,8450,266,13.5%,103.0,54.0,20.0,23.0,23,3.24,1.7,0.72,0.63,37.7%,4607,163,4444,0,145,5.3%,0.47,78.9%,,0.0,0.0,0.0,0.0,115.0,7.0,-45.0,0.0,0,654.0,654,9277.0,3171,25546.0,747,29.0,134,23154.0,54,26,39,0,0,BRION
Canna,Renekton,TOP,16,1,4,2,0.8,256,4.0,,8.1,11463,362,22.6%,17.0,8.0,1.0,4.0,2,0.54,0.25,0.13,0.03,7.7%,10156,8178,1978,0,321,18%,0.09,60%,,0.0,0.0,0.0,0.0,-270.0,-10.0,-1045.0,-1.0,0,2940.0,2940,8554.0,0,32026.0,0,11.0,40,30444.0,116,5,23,0,0,Dplus KIA
Canyon,Maokai,JUNGLE,13,1,4,2,0.8,154,128.0,,4.9,8892,281,17.5%,41.0,9.0,15.0,8.0,6,1.3,0.28,0.25,0.47,18.6%,8213,310,7279,624,260,14.5%,0.09,60%,,0.0,0.0,0.0,0.0,-839.0,-5.0,-765.0,0.0,0,0.0,0,17499.0,1399,46101.0,0,41.0,600,32825.0,151,9,22,0,0,Dplus KIA
ShowMaker,Jayce,MID,15,2,4,2,1,246,4.0,,7.8,10892,344,21.4%,42.0,13.0,11.0,6.0,6,1.33,0.41,0.19,0.35,19%,15335,13173,2162,0,485,27.1%,0.13,80%,,0.0,0.0,0.0,0.0,-1661.0,-27.0,-1324.0,-1.0,0,2760.0,2760,821.0,0,8874.0,0,4.0,70,12686.0,99,6,26,50,50,Dplus KIA
Deft,Aphelios,ADC,15,1,2,4,2.5,316,24.0,,10.0,13361,422,26.3%,44.0,15.0,13.0,6.0,5,1.39,0.47,0.19,0.41,19.9%,20353,19050,699,604,643,36%,0.16,100%,,0.0,0.0,0.0,0.0,-261.0,-18.0,-987.0,-1.0,0,3213.0,3213,2971.0,0,13713.0,0,19.0,209,8797.0,21,7,24,0,50,Dplus KIA
Bible,Nautilus,SUPPORT,10,0,4,2,0.5,31,0.0,,1.0,6190,196,12.2%,77.0,45.0,12.0,13.0,11,2.43,1.42,0.41,0.38,34.8%,2456,229,1588,639,78,4.3%,0.06,40%,,0.0,0.0,0.0,0.0,106.0,6.0,316.0,1.0,0,0.0,0,567.0,244,14837.0,0,23.0,186,11741.0,110,15,26,0,0,Dplus KIA
kingen,Aatrox,TOP,17,4,1,5,9,256,16.0,,8.1,13250,419,20.3%,44.0,13.0,9.0,9.0,9,1.39,0.41,0.28,0.28,14.4%,20481,20481,0,0,647,27.1%,0.28,50%,,1.0,0.0,0.0,0.0,270.0,10.0,1045.0,1.0,0,273.0,273,14415.0,0,24400.0,0,22.0,156,27877.0,37,10,30,50,50,HLE
Grizzly,Sejuani,JUNGLE,16,3,1,10,13,194,178.0,,6.1,12512,396,19.2%,48.0,13.0,10.0,12.0,11,1.52,0.41,0.38,0.32,15.7%,8806,4537,3732,537,278,11.6%,0.41,72.2%,,0.0,0.0,0.0,0.0,839.0,5.0,765.0,0.0,0,1427.0,1427,19609.0,3597,54772.0,0,20.0,406,30480.0,39,13,26,50,0,HLE
Zeka,Ahri,MID,17,2,0,11,Perfect KDA,312,4.0,,9.9,14919,472,22.9%,62.0,30.0,10.0,14.0,14,1.96,0.95,0.44,0.32,20.3%,21683,2060,13330,6293,685,28.7%,0.41,72.2%,1.0,0.0,0.0,0.0,0.0,1661.0,27.0,1324.0,1.0,0,7570.0,7570,4289.0,0,7357.0,0,20.0,88,11877.0,0,17,36,0,0,HLE
Viper,Kai'Sa,ADC,17,9,0,2,Perfect KDA,342,40.0,,10.8,16573,524,25.4%,59.0,15.0,14.0,7.0,6,1.87,0.47,0.22,0.44,19.3%,20955,6704,14002,249,662,27.7%,0.35,61.1%,,1.0,0.0,0.0,0.0,261.0,18.0,987.0,1.0,0,11438.0,11438,3811.0,0,7779.0,0,1.0,81,10544.0,0,7,27,0,0,HLE
Life,Alistar,SUPPORT,12,0,3,11,3.7,28,0.0,,0.9,7907,250,12.1%,92.0,56.0,7.0,21.0,20,2.91,1.77,0.66,0.22,30.2%,3681,493,2019,1169,116,4.9%,0.35,61.1%,,0.0,0.0,0.0,0.0,-106.0,-6.0,-316.0,-1.0,0,112.0,112,5812.0,3472,16593.0,0,29.0,156,14225.0,69,23,37,0,0,HLE
