Player,Champion,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost
Clear,Jax,TOP,17,1,4,4,1.3,273,22,,7.6,12122,337,19.5%,38,19,4,7,5,1.06,0.53,0.19,0.11,11.9%,17269,8107,9162,0,480,21.8%,0.14,45.5%,1,0,0,0,0,-651,-24,-744,-1,0,4328,4328,4867,0,27290,0,13,120,31236,149,10,27,400,0
Willer,Wukong,JUNGLE,15,3,4,3,1.5,196,183,,5.4,11936,332,19.2%,54,21,8,20,19,1.5,0.58,0.56,0.22,17%,10083,8645,895,543,280,12.7%,0.17,54.5%,,0,0,0,0,-228,-5,-361,0,0,0,0,11565,0,23496,0,15,166,28258,127,22,37,450,200
Clozer,Yone,MID,18,2,4,1,0.8,357,8,,9.9,13629,379,22%,31,11,4,10,8,0.86,0.31,0.28,0.11,9.7%,14308,9019,3686,1603,398,18%,0.08,27.3%,,0,0,0,0,-880,-15,-1059,-1,0,0,0,4309,0,31967,0,18,191,19933,142,11,29,150,150
Teddy,Kai,ADC,17,4,5,5,1.8,364,22,,10.1,16317,453,26.3%,58,28,12,3,3,1.61,0.78,0.08,0.33,18.2%,31251,10018,20248,985,868,39.4%,0.25,81.8%,,0,0,0,0,137,16,275,0,0,4684,4684,3612,1240,12480,0,5,99,15902,142,5,24,150,300
Kael,Rakan,SUPPORT,12,1,6,8,1.5,37,0,,1,8074,224,13%,137,72,14,24,22,3.81,2,0.67,0.39,43.1%,6423,859,4511,1053,178,8.1%,0.25,81.8%,,0,0,0,0,-326,-3,-832,-1,0,863,863,4130,1791,20825,1858,27,57,17270,189,26,45,0,0
PerfecT,Gragas,TOP,18,2,1,11,13,305,0,,8.5,14317,398,19.5%,43,18,6,11,11,1.2,0.5,0.31,0.17,12.2%,16873,841,16032,0,469,19.2%,0.36,56.5%,,0,0,0,0,651,24,744,1,0,1057,1057,11481,0,21958,0,41,484,22105,38,13,32,250,0
HamBak,Vi,JUNGLE,17,2,1,15,17,218,178,,6.1,13280,369,18%,72,19,23,18,17,2,0.53,0.5,0.64,20.4%,12102,11605,0,497,336,13.8%,0.47,73.9%,1,0,0,0,0,228,5,361,0,0,2645,2645,14962,0,38293,0,22,328,28925,36,19,41,0,0
Feisty,Azir,MID,18,6,2,13,9.5,331,16,,9.2,17752,493,24.1%,41,19,5,12,11,1.14,0.53,0.33,0.14,11.6%,28111,570,27541,0,781,32.1%,0.53,82.6%,,2,0,0,0,880,15,1059,1,0,9263,9263,402,0,11558,0,14,195,15193,104,14,37,50,400
Hype,Zeri,ADC,18,10,3,12,7.3,345,24,,9.6,18348,510,24.9%,60,16,16,4,4,1.67,0.44,0.11,0.44,17%,25601,14569,10318,714,711,29.2%,0.61,95.7%,,1,1,0,0,-137,-16,-275,0,0,9473,9473,6619,908,16444,0,7,200,17403,115,5,26,250,600
Way,Alistar,SUPPORT,14,3,4,13,4,38,0,,1.1,9909,275,13.5%,137,68,17,22,22,3.81,1.89,0.61,0.47,38.8%,4987,482,3581,924,139,5.7%,0.44,69.6%,,0,0,0,0,326,3,832,1,0,320,320,12146,6412,32343,0,40,124,22929,134,24,40,100,150
Rascal,Renekton,TOP,17,5,0,8,Perfect KDA,262,19,,9.3,13964,497,22.8%,24,8,3,3,3,0.85,0.28,0.11,0.11,12.3%,22555,17304,5251,0,803,26.6%,0.46,52%,,2,0,0,0,1775,31,944,1,0,10799,10799,17416,0,30868,0,11,35,33132,0,4,23,0,0
Croco,Zac,JUNGLE,15,5,1,15,20,145,120,,5.2,11736,418,19.2%,38,9,9,7,7,1.35,0.32,0.25,0.32,19.5%,13276,404,12149,723,473,15.6%,0.71,80%,,0,0,0,0,95,-8,226,0,1,197,197,42132,2651,36313,0,45,443,30045,16,7,23,0,0
FATE,Tristana,MID,17,11,0,4,Perfect KDA,288,36,,10.3,15437,550,25.2%,30,13,8,7,7,1.07,0.46,0.25,0.28,15.4%,21798,19304,2428,66,776,25.7%,0.53,60%,,2,1,0,0,1405,10,-34,0,0,12511,12511,6714,0,14430,0,3,54,11937,0,8,28,0,0
Paduck,Xayah,ADC,15,4,1,12,16,265,21,,9.4,12685,452,20.7%,32,17,8,9,8,1.14,0.61,0.32,0.28,16.4%,22703,22610,0,93,808,26.7%,0.57,64%,,0,0,0,0,-181,-18,-252,0,0,4151,4151,3194,0,6642,0,21,55,10244,33,11,26,0,0
BeryL,Rell,SUPPORT,12,0,3,17,5.7,40,9,,1.4,7441,265,12.1%,71,30,8,8,8,2.53,1.07,0.28,0.28,36.4%,4543,427,3686,430,162,5.4%,0.61,68%,,0,0,0,0,52,3,-213,0,0,77,77,2013,0,21098,0,35,144,15163,37,10,25,0,0
DuDu,Aatrox,TOP,15,3,4,0,0.8,228,12,,8.1,9501,338,22.3%,18,8,3,2,2,0.64,0.28,0.07,0.11,9.9%,16135,15823,0,312,575,21.8%,0.11,60%,,0,0,0,0,-1775,-31,-944,-1,0,0,0,9106,0,24889,0,22,228,29452,129,3,19,0,0
YoungJae,Maokai,JUNGLE,12,1,6,3,0.7,123,100,,4.4,8146,290,19.1%,36,14,5,13,11,1.28,0.5,0.46,0.18,19.8%,17806,847,13719,3240,634,24.1%,0.14,80%,,0,0,0,0,-95,8,-226,0,0,0,0,13617,133,22177,0,46,463,31373,168,14,28,0,0
Bulldog,Azir,MID,14,0,5,3,0.6,222,4,,7.9,8802,313,20.6%,29,13,3,8,6,1.03,0.46,0.28,0.11,15.9%,15032,246,14572,214,535,20.3%,0.11,60%,,0,0,0,0,-1405,-10,34,0,0,434,434,307,0,11437,0,12,149,15847,162,11,28,0,0
Taeyoon,Zeri,ADC,13,1,5,3,0.8,280,0,,10,10802,385,25.3%,34,13,13,4,4,1.21,0.46,0.14,0.46,18.7%,19196,12065,6925,206,684,25.9%,0.14,80%,,0,0,0,0,181,18,252,0,0,1855,1855,887,0,9885,0,4,60,14606,135,6,21,0,0
Andil,Braum,SUPPORT,11,0,5,3,0.6,26,0,,0.9,5444,194,12.8%,65,33,5,9,9,2.31,1.18,0.32,0.18,35.7%,5864,719,4475,670,209,7.9%,0.11,60%,,0,0,0,0,-52,-3,213,0,0,0,0,1068,500,18413,1293,21,112,15694,126,11,22,0,0
DuDu,K,TOP,15,1,3,0,0.3,253,8,,8.3,10674,349,22.7%,27,8,4,3,3,0.88,0.26,0.1,0.13,12.4%,11881,10157,1362,362,388,20.8%,0.03,50%,,0,0,0,0,-72,2,144,0,0,1669,1669,1241,0,30643,0,26,3210,18141,129,6,24,0,100
YoungJae,Viego,JUNGLE,14,0,3,1,0.3,184,159,,6,9204,301,19.5%,48,16,9,15,14,1.57,0.52,0.49,0.29,22%,5824,5028,433,363,190,10.2%,0.03,50%,,0,0,0,0,-46,4,-386,0,0,0,0,9465,0,21778,0,9,134,18478,35,16,34,0,0
Bulldog,LeBlanc,MID,15,1,2,0,0.5,273,0,,8.9,11087,362,23.5%,34,9,12,6,6,1.11,0.29,0.2,0.39,15.6%,18832,5232,13439,161,615,33%,0.03,50%,,0,0,0,0,709,13,669,0,0,3052,3052,4694,0,14267,0,16,40,18464,46,7,26,0,100
Taeyoon,Zeri,ADC,14,0,4,1,0.3,252,4,,8.2,10188,333,21.6%,33,15,8,6,5,1.08,0.49,0.2,0.26,15.1%,16460,9880,6445,135,538,28.8%,0.03,50%,,0,0,0,0,-453,0,10,0,0,478,478,1927,0,11001,0,5,102,16497,149,7,23,0,0
Andil,Braum,SUPPORT,10,0,4,1,0.3,29,0,,0.9,5944,194,12.6%,76,41,4,13,11,2.48,1.34,0.42,0.13,34.9%,4089,490,3584,15,134,7.2%,0.03,50%,,0,0,0,0,-813,-4,-323,0,0,0,0,810,280,17730,953,22,121,15242,98,17,31,0,0
Rascal,Renekton,TOP,17,1,1,8,9,269,12,,8.8,12572,411,21.8%,36,12,8,7,7,1.18,0.39,0.23,0.26,15.1%,13455,11406,2049,0,439,19.9%,0.29,56.3%,,0,0,0,0,72,-2,-144,0,0,5180,5180,15635,0,26725,0,20,53,33598,21,8,25,0,0
Croco,Lee Sin,JUNGLE,14,4,0,10,Perfect KDA,146,126,,4.8,10938,357,18.9%,47,20,9,10,10,1.54,0.65,0.33,0.29,19.7%,12027,9382,2245,400,393,17.8%,0.46,87.5%,,0,0,0,0,46,-4,386,0,0,2076,2076,15960,0,35811,2179,19,624,23980,0,11,24,100,0
FATE,Annie,MID,15,2,1,10,12,209,0,,6.8,10772,352,18.7%,31,8,9,5,5,1.01,0.26,0.16,0.29,13%,15679,694,14985,0,512,23.2%,0.39,75%,,0,0,0,0,-709,-13,-669,0,0,2657,2657,1697,0,8393,2590,31,332,9230,27,9,23,0,0
Paduck,Xayah,ADC,15,7,0,4,Perfect KDA,305,12,,10,14804,484,25.6%,36,15,7,9,7,1.18,0.49,0.29,0.23,15.1%,21756,21388,0,368,711,32.1%,0.36,68.8%,,1,1,0,0,453,0,-10,0,0,7470,7470,5141,0,9857,0,16,118,12662,0,10,25,0,0
BeryL,Rell,SUPPORT,12,2,0,10,Perfect KDA,31,0,,1,8651,283,15%,88,42,9,12,11,2.87,1.37,0.39,0.29,37%,4781,668,3199,914,156,7.1%,0.39,75%,,0,0,0,0,813,4,323,0,0,499,499,1051,0,11504,0,35,143,7099,0,14,28,100,0
Morgan,Renekton,TOP,17,2,0,4,Perfect KDA,302,10,,10.8,12475,446,22.5%,31,9,6,4,4,1.11,0.32,0.14,0.21,11.9%,9740,8797,943,0,348,22%,0.21,50%,,0,0,0,0,1031,25,259,0,0,4187,4187,10239,0,18696,0,15,41,23292,0,5,24,0,0
UmTi,Maokai,JUNGLE,14,1,2,9,5,149,135,,5.3,9624,344,17.3%,35,8,5,7,7,1.25,0.29,0.25,0.18,13.5%,10780,390,9410,980,385,24.3%,0.36,83.3%,,0,0,0,0,-264,-27,-1071,-1,0,330,330,16227,1087,19329,0,30,518,24873,14,8,21,0,0
Karis,Tristana,MID,16,5,0,3,Perfect KDA,281,8,,10,13081,467,23.6%,36,8,10,6,6,1.29,0.29,0.21,0.36,13.8%,10938,9722,1216,0,391,24.7%,0.29,66.7%,,0,0,0,0,439,0,263,0,0,10989,10989,4252,0,8975,0,2,19,9583,0,7,21,150,0
Hena,Xayah,ADC,15,4,0,4,Perfect KDA,285,24,,10.2,13260,474,23.9%,42,15,14,6,6,1.5,0.54,0.21,0.5,16.2%,10503,9768,669,66,375,23.7%,0.29,66.7%,,0,0,0,0,327,-2,385,1,0,3447,3447,4392,586,4914,0,11,58,10252,0,7,23,0,0
Effort,Leona,SUPPORT,11,0,1,7,7,40,0,,1.4,7031,251,12.7%,116,61,16,19,19,4.14,2.18,0.68,0.57,44.6%,2384,522,1382,480,85,5.4%,0.25,58.3%,,0,0,0,0,251,4,534,0,0,390,390,478,0,10133,435,26,78,9945,12,21,34,0,0
Doran,K,TOP,16,0,1,0,0,244,1,,8.7,9487,339,20%,29,11,5,5,4,1.04,0.39,0.18,0.18,11.4%,10068,8408,1568,92,360,21.5%,0,0%,,0,0,0,0,-1031,-25,-259,0,0,359,359,3650,0,31933,112,20,3781,17554,0,6,23,0,0
Peanut,Rumble,JUNGLE,14,0,1,2,2,232,194,,8.3,10109,361,21.3%,46,8,10,6,6,1.64,0.29,0.21,0.36,18%,8379,135,6695,1549,299,17.9%,0.07,66.7%,,0,0,0,0,264,27,1071,1,0,1270,1270,12737,0,22149,0,8,502,20848,0,7,15,0,0
Chovy,Jayce,MID,15,2,4,1,0.8,272,7,,9.7,10521,376,22.2%,44,9,18,8,5,1.57,0.32,0.29,0.64,17.3%,13215,11754,1461,0,472,28.3%,0.11,100%,,1,0,0,0,-439,0,-263,0,0,2749,2749,1145,0,9685,0,5,94,11340,84,8,29,0,100
Peyz,Kai,ADC,15,1,2,2,1.5,306,14,,10.9,11430,408,24.1%,42,21,9,3,3,1.5,0.75,0.11,0.32,16.5%,12490,4261,8229,0,446,26.7%,0.11,100%,,0,0,0,0,-327,2,-385,-1,0,916,916,2108,0,6458,0,0,46,9240,14,4,20,0,50
Delight,Nautilus,SUPPORT,10,0,4,2,0.5,29,0,,1,5859,209,12.4%,94,50,10,13,12,3.36,1.79,0.46,0.36,36.9%,2599,292,1372,935,93,5.6%,0.07,66.7%,,0,0,0,0,-251,-4,-534,0,0,0,0,229,0,11614,0,19,116,9264,72,16,28,0,0
Doran,Aatrox,TOP,15,1,6,4,0.8,206,19,,6.5,9712,305,18.5%,17,7,3,2,2,0.53,0.22,0.06,0.09,6.7%,16640,16594,0,46,523,18.7%,0.16,55.6%,,0,0,0,0,-1438,-29,-1288,-1,0,117,117,9270,0,23752,0,23,155,31605,190,3,23,0,0
Peanut,Skarner,JUNGLE,14,1,2,6,3.5,171,135,,5.4,9943,313,18.9%,33,11,7,6,6,1.04,0.35,0.19,0.22,13.1%,6607,2082,3038,1487,208,7.4%,0.22,77.8%,,0,0,0,0,-2,-15,-547,-1,0,0,0,11396,0,48907,0,33,812,22473,70,7,22,0,0
Chovy,Tristana,MID,16,4,2,5,4.5,307,26,,9.7,13963,439,26.6%,48,12,19,4,4,1.51,0.38,0.13,0.6,19%,29162,26742,1881,539,917,32.9%,0.28,100%,,0,0,0,0,775,-6,177,0,0,7934,7934,8379,0,15900,0,6,53,21544,45,5,30,0,500
Peyz,Kai,ADC,14,3,3,4,2.3,266,12,,8.4,12298,387,23.4%,60,33,15,9,8,1.89,1.04,0.28,0.47,23.8%,31103,9215,21825,63,978,35%,0.22,77.8%,,0,0,0,0,233,-1,-226,0,0,842,842,3381,0,8380,0,0,76,15914,90,13,33,50,100
Delight,Nautilus,SUPPORT,11,0,6,7,1.2,30,0,,0.9,6596,207,12.6%,94,60,7,17,15,2.96,1.89,0.53,0.22,37.3%,5256,747,3484,1025,165,5.9%,0.22,77.8%,,0,0,0,0,-115,-7,45,0,0,0,0,408,0,24105,0,37,196,15615,203,19,32,0,0
Morgan,Renekton,TOP,17,5,4,8,3.3,257,12,,8.1,14175,446,22.7%,27,11,3,6,6,0.85,0.35,0.19,0.09,9.9%,20639,16811,3828,0,649,23.8%,0.41,68.4%,1,0,0,0,0,1438,29,1288,1,0,4859,4859,17964,0,42453,0,14,40,43501,152,7,25,0,50
UmTi,Lillia,JUNGLE,16,7,2,7,7,218,176,,6.9,13684,430,21.9%,56,7,15,6,6,1.76,0.22,0.19,0.47,20.5%,17922,320,12643,4959,564,20.6%,0.44,73.7%,,0,0,1,0,2,15,547,1,0,1250,1250,26266,0,23437,0,20,441,38847,72,8,26,550,0
Karis,Jayce,MID,17,4,0,8,Perfect KDA,291,4,,9.2,13564,427,21.7%,44,12,11,8,8,1.38,0.38,0.25,0.35,16.1%,23530,21914,1616,0,740,27.1%,0.38,63.2%,,0,0,0,0,-775,6,-177,0,0,7125,7125,4583,0,10992,0,5,82,12323,0,10,31,50,0
Hena,Kog,ADC,14,2,1,10,12,259,8,,8.1,12696,399,20.3%,43,15,22,5,5,1.35,0.47,0.16,0.69,15.8%,20193,9386,10365,442,635,23.2%,0.38,63.2%,,0,0,0,0,-233,1,226,0,0,6752,6752,4077,0,9581,0,12,417,14028,40,6,23,0,0
Effort,Braum,SUPPORT,13,1,2,14,7.5,42,0,,1.3,8450,266,13.5%,103,54,20,23,23,3.24,1.7,0.72,0.63,37.7%,4607,163,4444,0,145,5.3%,0.47,78.9%,,0,0,0,0,115,7,-45,0,0,654,654,9277,3171,25546,747,29,134,23154,54,26,39,0,0
Canna,Renekton,TOP,16,1,4,2,0.8,256,4,,8.1,11463,362,22.6%,17,8,1,4,2,0.54,0.25,0.13,0.03,7.7%,10156,8178,1978,0,321,18%,0.09,60%,,0,0,0,0,-270,-10,-1045,-1,0,2940,2940,8554,0,32026,0,11,40,30444,116,5,23,0,0
Canyon,Maokai,JUNGLE,13,1,4,2,0.8,154,128,,4.9,8892,281,17.5%,41,9,15,8,6,1.3,0.28,0.25,0.47,18.6%,8213,310,7279,624,260,14.5%,0.09,60%,,0,0,0,0,-839,-5,-765,0,0,0,0,17499,1399,46101,0,41,600,32825,151,9,22,0,0
ShowMaker,Jayce,MID,15,2,4,2,1,246,4,,7.8,10892,344,21.4%,42,13,11,6,6,1.33,0.41,0.19,0.35,19%,15335,13173,2162,0,485,27.1%,0.13,80%,,0,0,0,0,-1661,-27,-1324,-1,0,2760,2760,821,0,8874,0,4,70,12686,99,6,26,50,50
Deft,Aphelios,ADC,15,1,2,4,2.5,316,24,,10,13361,422,26.3%,44,15,13,6,5,1.39,0.47,0.19,0.41,19.9%,20353,19050,699,604,643,36%,0.16,100%,,0,0,0,0,-261,-18,-987,-1,0,3213,3213,2971,0,13713,0,19,209,8797,21,7,24,0,50
Bible,Nautilus,SUPPORT,10,0,4,2,0.5,31,0,,1,6190,196,12.2%,77,45,12,13,11,2.43,1.42,0.41,0.38,34.8%,2456,229,1588,639,78,4.3%,0.06,40%,,0,0,0,0,106,6,316,1,0,0,0,567,244,14837,0,23,186,11741,110,15,26,0,0
kingen,Aatrox,TOP,17,4,1,5,9,256,16,,8.1,13250,419,20.3%,44,13,9,9,9,1.39,0.41,0.28,0.28,14.4%,20481,20481,0,0,647,27.1%,0.28,50%,,1,0,0,0,270,10,1045,1,0,273,273,14415,0,24400,0,22,156,27877,37,10,30,50,50
Grizzly,Sejuani,JUNGLE,16,3,1,10,13,194,178,,6.1,12512,396,19.2%,48,13,10,12,11,1.52,0.41,0.38,0.32,15.7%,8806,4537,3732,537,278,11.6%,0.41,72.2%,,0,0,0,0,839,5,765,0,0,1427,1427,19609,3597,54772,0,20,406,30480,39,13,26,50,0
Zeka,Ahri,MID,17,2,0,11,Perfect KDA,312,4,,9.9,14919,472,22.9%,62,30,10,14,14,1.96,0.95,0.44,0.32,20.3%,21683,2060,13330,6293,685,28.7%,0.41,72.2%,1,0,0,0,0,1661,27,1324,1,0,7570,7570,4289,0,7357,0,20,88,11877,0,17,36,0,0
Viper,Kai,ADC,17,9,0,2,Perfect KDA,342,40,,10.8,16573,524,25.4%,59,15,14,7,6,1.87,0.47,0.22,0.44,19.3%,20955,6704,14002,249,662,27.7%,0.35,61.1%,,1,0,0,0,261,18,987,1,0,11438,11438,3811,0,7779,0,1,81,10544,0,7,27,0,0
Life,Alistar,SUPPORT,12,0,3,11,3.7,28,0,,0.9,7907,250,12.1%,92,56,7,21,20,2.91,1.77,0.66,0.22,30.2%,3681,493,2019,1169,116,4.9%,0.35,61.1%,,0,0,0,0,-106,-6,-316,-1,0,112,112,5812,3472,16593,0,29,156,14225,69,23,37,0,0
Canna,Jax,TOP,17,3,2,4,3.5,307,16,,9,14277,419,24.7%,51,23,8,13,12,1.5,0.67,0.38,0.23,14.5%,15439,8414,6720,305,453,20.8%,0.21,70%,,0,0,0,0,324,15,694,1,0,9247,9247,7309,0,25576,0,13,195,27715,48,15,32,0,100
Canyon,Vi,JUNGLE,15,1,5,5,1.2,201,191,,5.9,10337,303,17.9%,56,16,9,15,15,1.64,0.47,0.44,0.26,15.9%,5410,5061,0,349,159,7.3%,0.18,60%,,0,0,0,0,-29,-23,-745,0,0,0,0,10818,0,29344,0,14,381,26996,122,16,32,0,0
ShowMaker,Annie,MID,14,1,4,3,1,229,4,,6.7,10864,319,18.8%,53,15,16,13,11,1.55,0.44,0.38,0.47,15.1%,10937,845,9628,464,321,14.8%,0.12,40%,,0,0,0,0,-1295,-30,-1038,-1,0,0,0,1068,0,11014,377,17,309,14300,109,15,32,0,0
Deft,Varus,ADC,16,5,2,3,4,322,4,,9.4,15188,445,26.3%,92,43,21,7,7,2.7,1.26,0.21,0.62,26.1%,38192,31924,5671,597,1120,51.6%,0.23,80%,,0,0,1,0,-440,-13,-858,-1,0,1112,1112,4268,0,11125,0,41,555,18954,43,13,33,700,500
Bible,Alistar,SUPPORT,12,0,6,8,1.3,31,0,,0.9,7028,206,12.2%,100,57,6,21,18,2.93,1.67,0.62,0.18,28.4%,4082,347,2693,1042,120,5.5%,0.23,80%,,0,0,0,0,-237,3,215,0,0,0,0,3609,2204,23048,0,31,140,16352,104,23,38,0,0
kingen,Renekton,TOP,17,4,2,9,6.5,268,16,,7.9,14596,428,21.5%,54,15,15,9,9,1.58,0.44,0.26,0.44,14.8%,13823,11165,2598,60,405,17.8%,0.38,72.2%,,1,0,0,0,-324,-15,-694,-1,0,1977,1977,13047,0,25082,0,11,61,29475,66,10,30,100,0
Grizzly,Maokai,JUNGLE,15,1,3,13,4.7,195,173,,5.7,11580,340,17%,60,13,13,13,11,1.76,0.38,0.38,0.38,16.5%,16413,627,15684,102,481,21.2%,0.41,77.8%,,0,0,0,0,29,23,745,0,0,620,620,24670,3237,45899,0,48,662,35614,63,14,31,0,0
Zeka,Jayce,MID,18,8,1,7,15,309,16,,9.1,16370,480,24.1%,73,20,11,7,7,2.14,0.59,0.21,0.32,20.1%,25888,21872,3971,45,759,33.4%,0.44,83.3%,,3,0,0,0,1295,30,1038,1,0,9281,9281,1845,0,10359,0,7,139,13600,38,8,29,0,600
Viper,Xayah,ADC,17,4,1,11,15,359,40,,10.5,16442,482,24.2%,54,19,17,7,7,1.58,0.56,0.21,0.5,14.8%,17581,17581,0,0,516,22.7%,0.44,83.3%,,0,0,0,0,440,13,858,1,0,5960,5960,5956,0,10302,0,12,60,12793,38,12,33,250,100
Life,Rell,SUPPORT,14,1,3,15,5.3,39,2,,1.1,9057,266,13.3%,123,68,19,23,22,3.61,1.99,0.67,0.56,33.8%,3779,331,2778,670,111,4.9%,0.47,88.9%,,0,0,0,0,237,-3,-215,0,0,759,759,1954,0,12907,0,27,107,13366,70,25,40,0,0
DnDn,K,TOP,18,1,1,6,7,266,0,,8,13450,404,20.7%,39,21,7,12,11,1.17,0.63,0.36,0.21,12.9%,9863,7417,1830,616,296,12%,0.21,53.8%,,0,0,0,0,52,-13,-264,0,0,3396,3396,4714,0,46121,499,20,2429,23277,0,13,36,50,0
Sylvie,Wukong,JUNGLE,16,5,3,6,3.7,167,135,,5,13445,404,20.7%,68,13,15,12,11,2.04,0.39,0.36,0.45,22.4%,15270,12813,1555,902,459,18.6%,0.33,84.6%,1,0,0,0,0,8,-7,283,0,0,7250,7250,15509,0,34255,0,17,148,35471,100,13,34,650,0
FIESTA,Seraphine,MID,17,3,1,6,9,266,4,,8,13951,419,21.5%,36,18,7,8,7,1.08,0.54,0.24,0.21,11.9%,22857,1217,21157,483,686,27.8%,0.27,69.2%,,0,0,0,0,-470,-5,-296,0,0,6424,6424,16360,12851,10824,11625,39,275,13557,35,11,28,500,0
Jiwoo,Xayah,ADC,16,3,3,7,3.3,326,32,,9.8,15358,461,23.6%,56,14,19,6,6,1.68,0.42,0.18,0.57,18.5%,28311,27938,43,330,850,34.5%,0.3,76.9%,,0,0,0,0,-1709,-29,-925,-1,0,6709,6709,6969,657,13011,0,15,70,19939,67,11,33,100,0
Peter,Rakan,SUPPORT,14,1,1,9,10,37,0,,1.1,8755,263,13.5%,104,57,8,19,17,3.12,1.71,0.57,0.24,34.3%,5862,925,3909,1028,176,7.1%,0.3,76.9%,,0,0,0,0,-877,11,-406,-1,0,1126,1126,10147,6359,23373,4083,25,48,17349,27,22,40,0,0
