Player,GPM,VSPM,DPM,KP%,XPD@15
Canyon,1.017581902081299,0.9458644203454049,1.08994708994709,0.9985088935174546,1.1834564599972226
Croco,0.9743108609212349,1.0345020295475844,1.0897791215251533,1.1240990974296634,0.8314896858916115
Cuzz,1.0089135774937237,1.0200848582126858,0.9758570094704548,1.0474696390256408,1.0043031996167244
Grizzly,1.0057373974921693,0.80309243236874,1.0247654617402517,0.9803761695618943,1.0029029177983957
Oner,1.025906140502039,0.9767133677475056,1.0468271964870604,1.0159360792000087,0.9534105197668509
Peanut,1.031474381067264,1.0001847001459017,1.0590513983371126,0.9443216268502939,1.0517942091891612
Sylvie,0.997870243949858,1.2528241944952343,0.8698180126751555,0.8455397661022109,0.9232872253319538
UmTi,0.9672315086066593,0.9872682968586377,0.9013857394809776,1.0820150568399414,0.9793239787929865
Willer,0.9307917655324169,1.0564843173486607,0.8300482586196872,1.010724449109755,0.9682977729116872
YoungJae,0.9276351312539491,1.0306352882065497,0.9941043083900227,0.9723921696525858,0.7958479129281635
