Player,GPM,VSPM,DPM,KP%,XPD@15
Burdol,1.0025138141200465,0.967199558985667,1.0132792701469844,1.0495377804782777,0.8547285265645741
Canna,0.9656336708800721,0.9732635060639472,0.9844652812975164,0.9234299726574366,1.0129947112720181
DnDn,0.9477918386780766,1.1572809770163683,0.9732309251822683,1.035568034239967,0.9067180660140958
Doran,1.0495433336495363,0.9104448042998898,1.0304042067916879,0.9926961720411441,1.030493863780498
DuDu,1.032096188962933,0.9969128996692393,1.2995032944754183,1.1241855822229938,1.106823163752502
Kiin,1.0006493787307889,0.9505237045203969,0.9222980829432635,1.0368162125316251,1.0026497973470212
Morgan,1.017539782294211,1.0630099228224918,0.9863963507349215,1.0827655049694025,1.004808800199589
Rascal,1.0220299641900064,1.0443253858875414,0.9091231626964015,0.9651436569593334,0.9606268770984938
Zeus,0.9825015499595147,0.9186879823594267,1.0509014553616682,1.0375888943312233,1.0256024059508868
kingen,0.9745140354621702,1.1268834987137082,0.9964521033958439,0.9016680410283118,0.9873511097060316
