Player,GPM,VSPM,DPM,KP%,XPD@15
Aiming,1.0528576900199274,0.8799641194662554,0.9660894081104925,1.0286152994448248,1.0513510810233893
Deft,0.9899002549614863,0.9773566763673415,1.14744382888293,1.001111461835109,0.9802101561971736
Gumayusi,1.051561701485187,1.0652419623374976,1.023098398272756,1.0175552938582328,1.056589301142956
Hena,0.9300500428414732,0.9761100954170919,0.9523743786639057,1.0050863162112387,0.9565312597200621
Jiwoo,0.9927431666562102,0.9692632030336312,0.9572508565908143,1.0167669496445135,0.9788989113530326
Paduck,0.9629654634380532,0.9387731353885335,0.9617482851842798,1.0049541043170627,0.8320850181441162
Peyz,1.0235138426300998,0.9574282425661261,0.9996009548324011,0.9903389416674067,0.9712938050803526
Taeyoon,0.9683699902981567,1.0251081690362311,0.950002157000906,0.957857928274336,0.9718200103680663
Teddy,0.8981383385920249,1.1629501308603452,0.9086316539329871,1.0139016216369565,1.018176017864976
Viper,0.9985934364566305,1.1444770810409373,1.0286620150010093,0.9571374692567981,1.0761387784881824
