Player,GPM,VSPM,DPM,KP%,XPD@15
Bdd,0.9552170994606127,0.8844001949975542,0.9216316452902278,1.0105982443321297,0.9368399977668165
Bulldog,1.0028452116460584,1.023153666699249,1.03516338713954,1.0324621486566228,0.9637162373054817
Chovy,0.9975703451244053,1.1545201159869918,0.9796720205047446,0.9509066955982641,1.0632039976983723
Clozer,0.9635798950784585,0.9587328481069586,0.9304516099524898,1.0293968089440122,1.0266188200710709
FATE,1.0230044163206116,1.0334417880335802,1.1005787715901088,1.0578208680973118,0.9948295471837261
FIESTA,0.9721550791564402,0.9768571206947579,1.1187121863424903,1.1005684237259017,0.939619212223258
Faker,0.9890665102947507,0.8560322133771552,0.9712822980211295,0.9162382361948433,0.9985060901089576
Karis,1.0126615407879584,0.930431973173588,0.8814710065162021,1.0744851694440503,0.916648088028067
ShowMaker,1.0064558154683665,0.9976262656384394,1.083263698620965,0.9542123858110683,1.014615195698532
Zeka,1.0688055944369266,1.0873972688091844,1.0401456020173832,1.0096258838481293,1.055478685209603
