GOLD%,VS%,DMG%,KP%,XPD@15
0.22016651248843733,0.4577112712478013,0.7843770174306007,0.2780402424158672,0.17806979316818072
0.2941489361702132,0.6173671689135607,0.7689436733376372,0.4353464692061624,0.4937355435620663
0.017521902377972687,0.11374900872323579,0.6745813238142259,0.48662229795642586,0.4947474942174248
0.291439881246907,0.9933976356896523,0.9125730028375397,0.0,0.1439816392031701
0.4386252045826513,0.26261209052644396,0.9084024432636443,0.6509620719653122,0.5403989482632504
0.5711086226203816,0.500542593597396,0.9586830213040675,0.8810186054778493,0.5299273627399261
0.5531914893617023,0.0,0.0,0.8344647126113967,0.0
0.41010638297872415,0.7520816812053925,0.859909619109103,0.7905477885017156,0.5846761757902852
1.0,0.32117367168913535,0.9586830213040675,0.9396179111838725,0.8527370855821125
0.5938534278959811,1.0000000000000004,1.0,0.446566246766265,0.38003940717895995
0.0,0.6780333068992861,0.5737572627501616,0.7231260317699522,1.0
0.4804552201880261,0.8041790384154326,0.8266023090666149,0.5243275086137809,0.2953864911871761
0.18186423505572424,0.584901646002979,0.8649589596975008,1.0,0.5454237734358839
0.258951738453554,0.9522059534631828,0.843010439465273,0.5546093562958414,0.46569005397070157
