Player,Champion,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,Version,Date,Team,Result
Paduck,Xayah,ADC,15,4,1,12,16,265,21,9.4,12685,452,0.207,32,17,8,9,8,1.14,0.61,0.32,0.28,0.164,22703,22610,0,93,808,0.267,0.57,0.64,0,0,0,0,0,-181,-18,-252,0,0,4151,4151,3194,0,6642,0,21,55,10244,33,11,26,0,0,13.14,8/6/2023,DRX,Win
BeryL,Rell,SUPPORT,12,0,3,17,5.7,40,9,1.4,7441,265,0.121,71,30,8,8,8,2.53,1.07,0.28,0.28,0.364,4543,427,3686,430,162,0.054,0.61,0.68,0,0,0,0,0,52,3,-213,0,0,77,77,2013,0,21098,0,35,144,15163,37,10,25,0,0,13.14,8/6/2023,DRX,Win
DuDu,Aatrox,TOP,15,3,4,0,0.8,228,12,8.1,9501,338,0.223,18,8,3,2,2,0.64,0.28,0.07,0.11,0.099,16135,15823,0,312,575,0.218,0.11,0.6,0,0,0,0,0,-1775,-31,-944,-1,0,0,0,9106,0,24889,0,22,228,29452,129,3,19,0,0,13.14,8/6/2023,KDF,Lose
YoungJae,Maokai,JUNGLE,12,1,6,3,0.7,123,100,4.4,8146,290,0.191,36,14,5,13,11,1.28,0.5,0.46,0.18,0.198,17806,847,13719,3240,634,0.241,0.14,0.8,0,0,0,0,0,-95,8,-226,0,0,0,0,13617,133,22177,0,46,463,31373,168,14,28,0,0,13.14,8/6/2023,KDF,Lose
Bulldog,Azir,MID,14,0,5,3,0.6,222,4,7.9,8802,313,0.206,29,13,3,8,6,1.03,0.46,0.28,0.11,0.159,15032,246,14572,214,535,0.203,0.11,0.6,0,0,0,0,0,-1405,-10,34,0,0,434,434,307,0,11437,0,12,149,15847,162,11,28,0,0,13.14,8/6/2023,KDF,Lose
Taeyoon,Zeri,ADC,13,1,5,3,0.8,280,0,10.0,10802,385,0.253,34,13,13,4,4,1.21,0.46,0.14,0.46,0.187,19196,12065,6925,206,684,0.259,0.14,0.8,0,0,0,0,0,181,18,252,0,0,1855,1855,887,0,9885,0,4,60,14606,135,6,21,0,0,13.14,8/6/2023,KDF,Lose
Andil,Braum,SUPPORT,11,0,5,3,0.6,26,0,0.9,5444,194,0.128,65,33,5,9,9,2.31,1.18,0.32,0.18,0.357,5864,719,4475,670,209,0.079,0.11,0.6,0,0,0,0,0,-52,-3,213,0,0,0,0,1068,500,18413,1293,21,112,15694,126,11,22,0,0,13.14,8/6/2023,KDF,Lose
DuDu,K'Sante,TOP,15,1,3,0,0.3,253,8,8.3,10674,349,0.227,27,8,4,3,3,0.88,0.26,0.1,0.13,0.124,11881,10157,1362,362,388,0.208,0.03,0.5,0,0,0,0,0,-72,2,144,0,0,1669,1669,1241,0,30643,0,26,3210,18141,129,6,24,0,100,13.14,8/6/2023,KDF,Lose
YoungJae,Viego,JUNGLE,14,0,3,1,0.3,184,159,6.0,9204,301,0.195,48,16,9,15,14,1.57,0.52,0.49,0.29,0.22,5824,5028,433,363,190,0.102,0.03,0.5,0,0,0,0,0,-46,4,-386,0,0,0,0,9465,0,21778,0,9,134,18478,35,16,34,0,0,13.14,8/6/2023,KDF,Lose
Bulldog,LeBlanc,MID,15,1,2,0,0.5,273,0,8.9,11087,362,0.235,34,9,12,6,6,1.11,0.29,0.2,0.39,0.156,18832,5232,13439,161,615,0.33,0.03,0.5,0,0,0,0,0,709,13,669,0,0,3052,3052,4694,0,14267,0,16,40,18464,46,7,26,0,100,13.14,8/6/2023,KDF,Lose
Taeyoon,Zeri,ADC,14,0,4,1,0.3,252,4,8.2,10188,333,0.216,33,15,8,6,5,1.08,0.49,0.2,0.26,0.151,16460,9880,6445,135,538,0.288,0.03,0.5,0,0,0,0,0,-453,0,10,0,0,478,478,1927,0,11001,0,5,102,16497,149,7,23,0,0,13.14,8/6/2023,KDF,Lose
Andil,Braum,SUPPORT,10,0,4,1,0.3,29,0,0.9,5944,194,0.126,76,41,4,13,11,2.48,1.34,0.42,0.13,0.349,4089,490,3584,15,134,0.072,0.03,0.5,0,0,0,0,0,-813,-4,-323,0,0,0,0,810,280,17730,953,22,121,15242,98,17,31,0,0,13.14,8/6/2023,KDF,Lose
Rascal,Renekton,TOP,17,1,1,8,9,269,12,8.8,12572,411,0.218,36,12,8,7,7,1.18,0.39,0.23,0.26,0.151,13455,11406,2049,0,439,0.199,0.29,0.563,0,0,0,0,0,72,-2,-144,0,0,5180,5180,15635,0,26725,0,20,53,33598,21,8,25,0,0,13.14,8/6/2023,DRX,Win
Croco,Lee Sin,JUNGLE,14,4,0,10,Perfect KDA,146,126,4.8,10938,357,0.189,47,20,9,10,10,1.54,0.65,0.33,0.29,0.197,12027,9382,2245,400,393,0.178,0.46,0.875,0,0,0,0,0,46,-4,386,0,0,2076,2076,15960,0,35811,2179,19,624,23980,0,11,24,100,0,13.14,8/6/2023,DRX,Win
FATE,Annie,MID,15,2,1,10,12,209,0,6.8,10772,352,0.187,31,8,9,5,5,1.01,0.26,0.16,0.29,0.13,15679,694,14985,0,512,0.232,0.39,0.75,0,0,0,0,0,-709,-13,-669,0,0,2657,2657,1697,0,8393,2590,31,332,9230,27,9,23,0,0,13.14,8/6/2023,DRX,Win
Paduck,Xayah,ADC,15,7,0,4,Perfect KDA,305,12,10.0,14804,484,0.256,36,15,7,9,7,1.18,0.49,0.29,0.23,0.151,21756,21388,0,368,711,0.321,0.36,0.688,0,1,1,0,0,453,0,-10,0,0,7470,7470,5141,0,9857,0,16,118,12662,0,10,25,0,0,13.14,8/6/2023,DRX,Win
BeryL,Rell,SUPPORT,12,2,0,10,Perfect KDA,31,0,1.0,8651,283,0.15,88,42,9,12,11,2.87,1.37,0.39,0.29,0.37,4781,668,3199,914,156,0.071,0.39,0.75,0,0,0,0,0,813,4,323,0,0,499,499,1051,0,11504,0,35,143,7099,0,14,28,100,0,13.14,8/6/2023,DRX,Win
Morgan,Renekton,TOP,17,2,0,4,Perfect KDA,302,10,10.8,12475,446,0.225,31,9,6,4,4,1.11,0.32,0.14,0.21,0.119,9740,8797,943,0,348,0.22,0.21,0.5,0,0,0,0,0,1031,25,259,0,0,4187,4187,10239,0,18696,0,15,41,23292,0,5,24,0,0,13.14,8/5/2023,BRION,Win
UmTi,Maokai,JUNGLE,14,1,2,9,5,149,135,5.3,9624,344,0.173,35,8,5,7,7,1.25,0.29,0.25,0.18,0.135,10780,390,9410,980,385,0.243,0.36,0.833,0,0,0,0,0,-264,-27,-1071,-1,0,330,330,16227,1087,19329,0,30,518,24873,14,8,21,0,0,13.14,8/5/2023,BRION,Win
Karis,Tristana,MID,16,5,0,3,Perfect KDA,281,8,10.0,13081,467,0.236,36,8,10,6,6,1.29,0.29,0.21,0.36,0.138,10938,9722,1216,0,391,0.247,0.29,0.667,0,0,0,0,0,439,0,263,0,0,10989,10989,4252,0,8975,0,2,19,9583,0,7,21,150,0,13.14,8/5/2023,BRION,Win
Hena,Xayah,ADC,15,4,0,4,Perfect KDA,285,24,10.2,13260,474,0.239,42,15,14,6,6,1.5,0.54,0.21,0.5,0.162,10503,9768,669,66,375,0.237,0.29,0.667,0,0,0,0,0,327,-2,385,1,0,3447,3447,4392,586,4914,0,11,58,10252,0,7,23,0,0,13.14,8/5/2023,BRION,Win
Effort,Leona,SUPPORT,11,0,1,7,7,40,0,1.4,7031,251,0.127,116,61,16,19,19,4.14,2.18,0.68,0.57,0.446,2384,522,1382,480,85,0.054,0.25,0.583,0,0,0,0,0,251,4,534,0,0,390,390,478,0,10133,435,26,78,9945,12,21,34,0,0,13.14,8/5/2023,BRION,Win
Doran,K'Sante,TOP,16,0,1,0,0,244,1,8.7,9487,339,0.2,29,11,5,5,4,1.04,0.39,0.18,0.18,0.114,10068,8408,1568,92,360,0.215,0.0,0.0,0,0,0,0,0,-1031,-25,-259,0,0,359,359,3650,0,31933,112,20,3781,17554,0,6,23,0,0,13.14,8/5/2023,GEN,Lose
Peanut,Rumble,JUNGLE,14,0,1,2,2,232,194,8.3,10109,361,0.213,46,8,10,6,6,1.64,0.29,0.21,0.36,0.18,8379,135,6695,1549,299,0.179,0.07,0.667,0,0,0,0,0,264,27,1071,1,0,1270,1270,12737,0,22149,0,8,502,20848,0,7,15,0,0,13.14,8/5/2023,GEN,Lose
Chovy,Jayce,MID,15,2,4,1,0.8,272,7,9.7,10521,376,0.222,44,9,18,8,5,1.57,0.32,0.29,0.64,0.173,13215,11754,1461,0,472,0.283,0.11,1.0,0,1,0,0,0,-439,0,-263,0,0,2749,2749,1145,0,9685,0,5,94,11340,84,8,29,0,100,13.14,8/5/2023,GEN,Lose
Peyz,Kai'Sa,ADC,15,1,2,2,1.5,306,14,10.9,11430,408,0.241,42,21,9,3,3,1.5,0.75,0.11,0.32,0.165,12490,4261,8229,0,446,0.267,0.11,1.0,0,0,0,0,0,-327,2,-385,-1,0,916,916,2108,0,6458,0,0,46,9240,14,4,20,0,50,13.14,8/5/2023,GEN,Lose
Delight,Nautilus,SUPPORT,10,0,4,2,0.5,29,0,1.0,5859,209,0.124,94,50,10,13,12,3.36,1.79,0.46,0.36,0.369,2599,292,1372,935,93,0.056,0.07,0.667,0,0,0,0,0,-251,-4,-534,0,0,0,0,229,0,11614,0,19,116,9264,72,16,28,0,0,13.14,8/5/2023,GEN,Lose
