Player,Champion,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,Version,Date,Team,Result
Rascal,Rumble,TOP,16,5,2,7,6,212,32,6.7,12095,380,0.191,32,14,2,8,8,1.0,0.44,0.25,0.06,0.095,20715,499,20216,0,650,0.243,0.38,0.571,0,0,0,0,0,-489,-14,-240,-1,0,1043,1043,4116,0,19202,0,12,252,18430,96,11,28,50,300,13.12,7/20/2023,DRX,Win
Croco,Sejuani,JUNGLE,14,1,1,16,17,152,128,4.8,11175,351,0.177,61,13,17,13,11,1.92,0.41,0.41,0.53,0.18,12070,7630,3720,720,379,0.142,0.53,0.81,0,0,0,0,0,-18,-11,-204,0,0,725,725,19651,2532,34585,0,27,322,29543,44,14,29,0,0,13.12,7/20/2023,DRX,Win
FATE,Tristana,MID,17,3,0,10,Perfect KDA,285,27,8.9,14299,449,0.226,73,17,14,8,8,2.29,0.53,0.25,0.44,0.216,20012,16038,3974,0,628,0.235,0.41,0.619,0,0,0,0,0,632,28,773,0,0,17214,17214,3778,0,11446,0,3,23,8761,0,9,30,0,0,13.12,7/20/2023,DRX,Win
Paduck,Kai'Sa,ADC,16,12,2,7,9.5,277,7,8.7,17217,541,0.272,55,19,14,7,7,1.73,0.6,0.22,0.44,0.163,27492,9670,17723,99,863,0.323,0.6,0.905,0,0,2,0,0,-1242,-22,-774,-1,0,5092,5092,3335,0,6465,0,1,56,10974,35,8,27,550,0,13.12,7/20/2023,DRX,Win
BeryL,Rell,SUPPORT,13,0,5,18,3.6,48,0,1.5,8418,264,0.133,117,52,20,16,16,3.67,1.63,0.5,0.63,0.346,4931,534,3580,817,155,0.058,0.57,0.857,0,0,0,0,0,-299,0,126,0,0,58,58,1179,0,22298,0,42,174,14883,127,19,35,0,0,13.12,7/20/2023,DRX,Win
DnDn,Renekton,TOP,14,1,6,3,0.7,228,0,7.2,10794,339,0.203,45,22,8,15,13,1.41,0.69,0.47,0.25,0.15,6832,5470,1362,0,215,0.133,0.13,0.4,0,0,0,0,0,489,14,240,1,0,2350,2350,8859,0,28033,0,7,32,32753,188,16,48,0,50,13.12,7/20/2023,NS,Lose
Sylvie,Vi,JUNGLE,14,1,4,7,2,199,171,6.2,10615,333,0.2,64,12,16,12,10,2.01,0.38,0.38,0.5,0.213,6173,5866,0,307,194,0.12,0.25,0.8,0,0,0,0,0,18,11,204,0,0,1084,1084,12081,0,28415,0,16,326,26120,88,13,31,300,0,13.12,7/20/2023,NS,Lose
FIESTA,Annie,MID,14,3,7,4,1,197,0,6.2,10237,321,0.193,41,13,9,12,10,1.29,0.41,0.38,0.28,0.136,16113,1060,14928,125,506,0.314,0.22,0.7,1,0,0,0,0,-632,-28,-773,0,0,567,567,785,0,11455,995,34,279,19474,215,15,34,0,0,13.12,7/20/2023,NS,Lose
Jiwoo,Xayah,ADC,15,5,2,3,4,327,28,10.3,14468,454,0.272,47,11,17,3,3,1.48,0.35,0.09,0.53,0.156,18102,17912,0,190,568,0.353,0.25,0.8,0,0,0,0,0,1242,22,774,1,0,3133,3133,4554,0,8897,0,15,79,15859,98,4,22,0,550,13.12,7/20/2023,NS,Lose
Peter,Nautilus,SUPPORT,11,0,3,7,2.3,38,0,1.2,7047,221,0.133,104,71,7,23,22,3.27,2.23,0.72,0.22,0.346,4057,694,2699,664,127,0.079,0.22,0.7,0,0,0,0,0,299,0,-126,0,0,174,174,932,0,16604,0,37,190,12630,60,25,34,0,0,13.12,7/20/2023,NS,Lose
DnDn,Renekton,TOP,17,2,0,1,Perfect KDA,303,4,9.7,13600,435,0.229,42,17,9,9,8,1.34,0.54,0.29,0.29,0.13,12769,11941,787,41,408,0.185,0.1,0.333,0,0,0,0,0,-235,0,-262,0,0,6528,6528,14993,0,35489,0,19,48,33995,0,12,37,50,0,13.12,7/20/2023,NS,Win
Sylvie,Maokai,JUNGLE,15,0,1,6,6,181,160,5.8,10692,342,0.18,51,13,10,11,11,1.63,0.42,0.35,0.32,0.158,7597,388,7093,116,243,0.11,0.19,0.667,0,0,0,0,0,519,11,-19,0,1,476,476,19726,3297,45988,0,55,716,27351,14,12,28,0,0,13.12,7/20/2023,NS,Win
Jiwoo,Xayah,ADC,16,3,0,2,Perfect KDA,327,28,10.5,14444,462,0.243,39,10,16,5,5,1.25,0.32,0.16,0.51,0.121,17909,17723,11,175,573,0.259,0.16,0.556,0,0,0,0,0,1316,13,838,0,0,5834,5834,6243,0,10832,0,9,69,15163,0,9,25,0,0,13.12,7/20/2023,NS,Win
Peter,Rakan,SUPPORT,12,0,0,7,Perfect KDA,31,0,1.0,8252,264,0.139,142,86,10,18,18,4.54,2.75,0.58,0.32,0.441,3451,946,2327,178,110,0.05,0.22,0.778,0,0,0,0,0,-76,-13,-603,-1,0,933,933,9117,4294,22247,5160,10,25,14089,0,20,34,0,0,13.12,7/20/2023,NS,Win
Rascal,Poppy,TOP,16,0,0,0,Perfect KDA,265,4,8.5,10508,336,0.217,35,9,11,4,4,1.12,0.29,0.13,0.35,0.131,17330,10651,6679,0,554,0.241,0.0,0.0,0,0,0,0,0,235,0,262,0,0,4205,4205,5426,0,45578,0,16,719,27438,0,5,19,0,0,13.12,7/20/2023,DRX,Lose
Croco,Ivern,JUNGLE,13,0,3,1,0.3,141,127,4.5,8095,259,0.167,45,14,10,10,10,1.44,0.45,0.32,0.32,0.169,4241,690,2891,660,136,0.059,0.03,1.0,0,0,0,0,0,-519,-11,19,0,0,0,0,2614,0,8844,11948,38,122,10593,69,11,27,0,0,13.12,7/20/2023,DRX,Lose
FATE,Tristana,MID,16,1,3,0,0.3,331,12,10.6,12301,393,0.253,40,15,13,4,4,1.28,0.48,0.13,0.42,0.15,30876,20357,10177,342,988,0.429,0.03,1.0,0,0,0,0,0,504,11,-177,-1,0,3012,3012,4581,0,17446,0,7,99,16866,63,6,25,0,50,13.12,7/20/2023,DRX,Lose
Paduck,Ashe,ADC,14,0,3,0,0,268,0,8.6,10752,344,0.222,41,11,15,5,5,1.31,0.35,0.16,0.48,0.154,17774,14470,3304,0,568,0.247,0.0,0.0,0,0,0,0,0,-1316,-13,-838,0,0,2775,2775,2901,0,8040,0,58,911,14652,40,6,24,0,0,13.12,7/20/2023,DRX,Lose
BeryL,Milio,SUPPORT,12,0,0,1,Perfect KDA,57,0,1.8,6877,220,0.142,106,52,22,14,12,3.39,1.66,0.45,0.7,0.397,1698,605,1093,0,54,0.024,0.03,1.0,0,0,0,0,0,76,13,603,1,0,797,797,9177,5725,4733,4940,10,128,9946,0,17,30,0,0,13.12,7/20/2023,DRX,Lose
DuDu,Renekton,TOP,18,2,6,3,0.8,368,20,7.5,17439,354,0.214,54,15,18,11,10,1.1,0.3,0.22,0.37,0.13,21612,15924,5454,234,439,0.206,0.1,0.556,1,0,0,0,0,219,8,191,0,0,4250,4250,23500,0,48224,0,24,85,63558,305,16,36,700,150,13.12,7/20/2023,KDF,Lose
YoungJae,Poppy,JUNGLE,17,0,6,6,1,225,189,4.6,13495,274,0.165,85,34,20,35,32,1.73,0.69,0.71,0.41,0.205,5608,3516,1162,930,114,0.053,0.12,0.667,0,0,0,0,0,222,-14,-263,-1,0,0,0,14247,0,61116,0,24,909,43707,249,37,57,0,0,13.12,7/20/2023,KDF,Lose
Bulldog,Azir,MID,18,3,2,2,2.5,474,20,9.6,19726,401,0.242,60,28,25,12,11,1.22,0.57,0.24,0.51,0.145,46001,246,45605,150,934,0.437,0.1,0.556,0,0,0,0,0,68,-12,-514,0,0,5146,5146,7432,0,19473,0,17,297,32010,45,15,43,0,350,13.12,7/20/2023,KDF,Lose
Taeyoon,Aphelios,ADC,18,4,1,2,6,484,50,9.8,21111,429,0.258,60,17,30,4,4,1.22,0.35,0.08,0.61,0.145,28142,27644,340,158,572,0.268,0.12,0.667,0,1,0,0,0,634,13,-11,0,0,2063,2063,8442,0,24127,0,7,242,14623,0,8,30,150,400,13.12,7/20/2023,KDF,Lose
Andil,Rakan,SUPPORT,15,0,6,5,0.8,37,0,0.8,9906,201,0.121,156,100,14,29,27,3.17,2.03,0.59,0.28,0.376,3799,467,2610,722,77,0.036,0.1,0.556,0,0,0,0,0,-574,-2,111,0,0,269,269,10074,3823,29963,1593,19,85,31608,233,32,48,0,0,13.12,7/20/2023,KDF,Lose
Doran,K'Sante,TOP,18,1,1,14,15,384,8,7.8,18935,385,0.203,57,11,12,9,8,1.16,0.22,0.18,0.24,0.103,16537,13230,1895,1412,336,0.103,0.3,0.714,0,0,0,0,0,-219,-8,-191,0,0,4635,4635,10699,0,84064,2886,48,6061,40869,46,13,35,0,0,13.12,7/20/2023,GEN,Win
Peanut,Kha'Zix,JUNGLE,18,4,4,7,2.8,394,291,8.0,20384,414,0.219,186,65,55,9,8,3.78,1.32,0.18,1.12,0.335,24849,21492,557,2800,505,0.155,0.22,0.524,1,0,0,0,0,-222,14,263,1,1,989,989,25577,0,34806,0,19,875,43886,126,12,30,400,150,13.12,7/20/2023,GEN,Win
Chovy,Annie,MID,18,1,2,8,4.5,368,12,7.5,17315,352,0.186,53,12,16,7,7,1.08,0.24,0.14,0.32,0.095,35071,1161,32385,1525,712,0.219,0.18,0.429,0,0,0,0,0,-68,12,514,0,0,4677,4677,7494,0,23866,6846,61,799,26901,38,13,37,250,0,13.12,7/20/2023,GEN,Win
Peyz,Kai'Sa,ADC,18,14,1,4,18,501,40,10.2,24769,503,0.266,69,34,13,5,5,1.4,0.69,0.1,0.26,0.124,73486,11830,58710,2946,1493,0.458,0.37,0.857,0,0,1,0,0,-634,-13,11,0,0,15944,15944,4709,0,17123,0,15,228,17467,54,11,33,250,700,13.12,7/20/2023,GEN,Win
Delight,Blitzcrank,SUPPORT,16,1,1,15,16,40,0,0.8,11685,237,0.126,190,113,17,24,26,3.86,2.3,0.49,0.35,0.342,10423,2367,6561,1495,212,0.065,0.32,0.762,0,0,0,0,0,574,2,-111,0,0,786,786,3161,0,12938,0,51,284,20346,35,32,52,0,0,13.12,7/20/2023,GEN,Win
Doran,Gangplank,TOP,16,2,5,9,2.2,224,8,7.2,12960,418,0.213,17,9,3,3,2,0.55,0.29,0.1,0.1,0.065,19211,12545,4646,2020,620,0.248,0.36,0.917,0,0,0,0,0,-1033,-39,-1216,-1,0,6471,6471,3401,0,14291,0,11,267,21371,184,4,24,450,0,13.12,7/20/2023,GEN,Win
Peanut,Maokai,JUNGLE,15,1,1,11,12,179,147,5.8,10720,346,0.177,49,10,19,8,8,1.58,0.32,0.26,0.61,0.187,17752,513,16841,398,573,0.229,0.39,1.0,0,0,0,0,0,-59,-3,-491,0,0,435,435,15092,2218,30032,0,55,596,24616,39,10,24,100,0,13.12,7/20/2023,GEN,Win
Chovy,Tristana,MID,18,2,0,8,Perfect KDA,333,10,10.7,14231,459,0.234,51,15,18,5,4,1.65,0.48,0.16,0.58,0.195,19368,13440,5928,0,625,0.25,0.32,0.833,0,0,0,0,0,1335,22,354,0,0,11683,11683,7477,0,15806,0,3,27,16134,0,8,32,0,0,13.12,7/20/2023,GEN,Win
Peyz,Aphelios,ADC,15,7,2,2,4.5,320,27,10.3,15473,499,0.255,31,10,13,2,2,1.0,0.32,0.06,0.42,0.118,18168,17767,167,234,586,0.234,0.29,0.75,0,1,1,0,0,-327,-15,-1159,-1,0,5900,5900,3317,0,13712,0,6,156,11432,70,3,20,400,200,13.12,7/20/2023,GEN,Win
Delight,Rell,SUPPORT,13,0,3,8,2.7,38,0,1.2,7347,237,0.121,114,53,16,19,17,3.68,1.71,0.61,0.52,0.435,3083,428,1945,710,100,0.04,0.26,0.667,0,0,0,0,0,-206,5,-308,0,0,0,0,82,0,15973,0,23,93,10603,92,21,36,0,0,13.12,7/20/2023,GEN,Win
DuDu,Jax,TOP,17,6,1,3,9,283,26,9.1,13874,448,0.254,28,17,0,6,6,0.9,0.55,0.19,0.0,0.098,21271,11919,9024,328,687,0.34,0.29,0.818,3,0,0,0,0,1033,39,1216,1,0,6576,6576,6232,0,18907,0,21,282,24314,0,9,27,200,450,13.12,7/20/2023,KDF,Lose
YoungJae,Viego,JUNGLE,14,2,3,4,2,199,174,6.4,10359,334,0.19,65,18,14,22,17,2.1,0.58,0.71,0.45,0.227,5643,4849,379,415,182,0.09,0.19,0.545,0,0,0,0,0,59,3,491,0,0,0,0,15249,0,27285,0,11,195,28233,60,20,39,0,150,13.12,7/20/2023,KDF,Lose
Bulldog,Cassiopeia,MID,16,1,2,4,2.5,274,4,8.8,11155,360,0.204,46,21,8,13,10,1.48,0.68,0.42,0.26,0.161,16259,221,16038,0,525,0.26,0.16,0.455,0,0,0,0,0,-1335,-22,-354,0,0,0,0,6473,0,12951,0,24,510,21685,38,15,36,0,100,13.12,7/20/2023,KDF,Lose
Taeyoon,Kai'Sa,ADC,15,1,2,1,1,321,0,10.4,12625,407,0.231,63,34,14,7,6,2.03,1.1,0.23,0.45,0.22,16032,4346,11465,221,517,0.256,0.06,0.182,0,0,0,0,0,327,15,1159,1,0,1997,1997,2585,0,7900,0,2,49,10905,43,8,23,0,250,13.12,7/20/2023,KDF,Lose
Andil,Alistar,SUPPORT,12,1,4,3,1,29,0,0.9,6553,212,0.12,84,42,8,12,10,2.71,1.36,0.39,0.26,0.294,3334,763,2040,531,108,0.053,0.13,0.364,0,0,0,0,0,206,-5,308,0,0,0,0,4767,2736,26921,0,25,78,15489,123,14,26,0,0,13.12,7/20/2023,KDF,Lose
Willer,Ivern,JUNGLE,12,0,2,0,0,140,119,4.8,7777,267,0.166,58,18,14,17,16,1.99,0.62,0.58,0.48,0.238,1708,603,1051,54,59,0.056,0.0,0.0,0,0,0,0,0,-2034,-19,-377,0,0,26,26,1940,160,6127,4086,7,88,5686,55,18,32,0,0,13.12,7/19/2023,LSB,Lose
Clozer,Tristana,MID,16,1,2,0,0.5,331,8,11.4,12445,428,0.265,34,8,12,4,3,1.17,0.28,0.14,0.41,0.139,12507,10107,2400,0,430,0.408,0.03,1.0,0,0,0,0,0,52,11,300,0,0,7422,7422,2593,0,7471,0,1,47,10413,44,5,23,0,0,13.12,7/19/2023,LSB,Lose
Teddy,Aphelios,ADC,14,0,3,1,0.3,296,16,10.2,10755,370,0.229,27,12,6,3,3,0.93,0.41,0.1,0.21,0.111,6695,6057,255,383,230,0.219,0.03,1.0,0,0,0,0,0,-768,-12,-906,-1,0,0,0,614,0,8073,0,4,225,5611,35,4,24,0,0,13.12,7/19/2023,LSB,Lose
Kael,Nautilus,SUPPORT,10,0,2,1,0.5,30,0,1.0,5948,205,0.127,105,59,11,18,16,3.61,2.03,0.62,0.38,0.43,1762,406,1356,0,61,0.058,0.03,1.0,0,0,0,0,0,-374,0,-470,-1,0,0,0,14,0,7947,0,21,143,5785,50,20,30,0,0,13.12,7/19/2023,LSB,Lose
kingen,Renekton,TOP,18,2,0,4,Perfect KDA,303,6,10.4,13674,470,0.226,27,13,3,7,6,0.93,0.45,0.24,0.1,0.12,10164,8416,1748,0,349,0.264,0.21,0.545,0,0,0,0,0,548,10,47,0,0,10265,10265,9940,0,19565,0,14,39,19087,0,8,25,0,0,13.12,7/19/2023,HLE,Win
Grizzly,Maokai,JUNGLE,15,4,0,4,Perfect KDA,212,191,7.3,12301,423,0.203,39,10,8,9,8,1.34,0.34,0.31,0.28,0.173,4378,403,3620,355,151,0.114,0.28,0.727,0,0,1,0,0,2034,19,377,0,0,638,638,17928,1295,25463,0,26,656,24399,0,10,26,0,0,13.12,7/19/2023,HLE,Win
Zeka,Azir,MID,18,3,0,2,Perfect KDA,335,16,11.5,14092,485,0.233,35,17,2,9,7,1.2,0.58,0.31,0.07,0.156,14154,188,13888,78,487,0.367,0.17,0.455,0,1,0,0,0,-52,-11,-300,0,0,5664,5664,668,0,5383,0,4,186,6689,0,11,31,0,0,13.12,7/19/2023,HLE,Win
Viper,Samira,ADC,15,2,0,6,Perfect KDA,275,8,9.5,12744,438,0.21,34,14,7,7,6,1.17,0.48,0.24,0.24,0.151,6202,5339,763,100,213,0.161,0.28,0.727,0,0,0,0,0,768,12,906,1,0,3636,3636,2472,0,4419,0,1,52,6604,0,10,27,0,0,13.12,7/19/2023,HLE,Win
Life,Rell,SUPPORT,12,0,1,9,9,35,0,1.2,7755,267,0.128,90,45,15,13,13,3.09,1.55,0.45,0.52,0.4,3651,650,2393,608,126,0.095,0.31,0.818,0,0,0,0,0,374,0,470,1,0,196,196,686,274,13136,0,20,111,8578,27,15,29,0,0,13.12,7/19/2023,HLE,Win
Willer,Lee Sin,JUNGLE,16,2,3,6,2.7,215,187,6.3,11899,348,0.194,82,23,22,13,11,2.4,0.67,0.38,0.64,0.243,11020,9222,1630,168,323,0.138,0.23,0.8,0,0,0,0,0,-36,-14,-818,-1,0,405,405,21181,0,55154,1083,19,701,35656,80,14,30,0,0,13.12,7/19/2023,LSB,Lose
Clozer,Akali,MID,17,3,5,1,0.8,283,4,8.3,12178,356,0.199,40,11,8,8,8,1.17,0.32,0.23,0.23,0.119,20971,1287,19684,0,614,0.262,0.12,0.4,0,0,0,0,0,21,0,19,0,0,0,0,4460,0,21979,0,2,84,29336,192,11,26,100,150,13.12,7/19/2023,LSB,Lose
Teddy,Ezreal,ADC,16,1,3,6,2.3,345,8,10.1,13888,406,0.226,43,14,8,4,4,1.26,0.41,0.12,0.23,0.128,23822,15537,7755,530,697,0.298,0.2,0.7,0,0,0,0,0,-168,-8,-87,0,0,870,870,4187,277,8487,0,8,126,14718,101,7,22,0,300,13.12,7/19/2023,LSB,Lose
Kael,Rell,SUPPORT,13,0,6,8,1.3,37,0,1.1,7935,232,0.129,133,74,13,28,25,3.89,2.17,0.82,0.38,0.395,3950,397,2326,1227,116,0.049,0.23,0.8,0,0,0,0,0,25,-3,-480,-1,0,56,56,289,0,26076,0,29,97,15311,165,30,50,0,0,13.12,7/19/2023,LSB,Lose
kingen,K'Sante,TOP,18,2,1,12,14,299,0,8.8,14291,418,0.215,36,19,3,8,7,1.05,0.56,0.23,0.09,0.103,24204,18644,3358,2202,708,0.241,0.41,0.7,0,0,0,0,0,-567,-16,-535,0,0,5210,5210,7827,0,49442,0,42,2531,25118,38,10,28,550,0,13.12,7/19/2023,HLE,Win
Grizzly,Maokai,JUNGLE,16,4,2,15,9.5,198,174,5.8,12334,361,0.185,68,12,15,10,10,1.99,0.35,0.29,0.44,0.194,18524,958,15389,2177,542,0.184,0.56,0.95,0,0,0,0,0,36,14,818,1,2,298,298,26777,2734,35021,0,44,733,38499,69,11,27,200,0,13.12,7/19/2023,HLE,Win
Zeka,Azir,MID,18,6,2,7,6.5,338,4,9.9,15208,445,0.228,64,17,18,5,5,1.87,0.5,0.15,0.53,0.182,30781,924,29857,0,901,0.306,0.38,0.65,0,1,0,0,0,-21,0,-19,0,0,7833,7833,3128,0,13938,0,12,184,17099,94,7,28,100,100,13.12,7/19/2023,HLE,Win
Viper,Xayah,ADC,18,5,2,7,6,395,54,11.6,16492,483,0.248,53,18,14,8,7,1.55,0.53,0.23,0.41,0.151,21780,21346,0,434,637,0.216,0.35,0.6,0,0,0,0,0,168,8,87,0,0,5669,5669,4785,0,12360,0,11,108,15255,79,9,25,200,400,13.12,7/19/2023,HLE,Win
Life,Nautilus,SUPPORT,12,3,3,8,3.7,34,0,1.0,8284,242,0.124,130,76,13,27,25,3.8,2.22,0.79,0.38,0.37,5314,1302,3198,814,156,0.053,0.32,0.55,0,0,0,0,0,-25,3,480,1,0,0,0,3003,0,19797,0,37,167,14771,75,29,43,0,150,13.12,7/19/2023,HLE,Win
Canna,Rumble,TOP,17,2,3,2,1.3,295,40,9.5,12362,397,0.222,44,15,1,6,5,1.41,0.48,0.19,0.03,0.159,27743,685,26691,367,892,0.368,0.13,0.444,0,0,0,0,0,812,19,617,0,0,914,914,1146,0,17351,0,14,330,16691,93,10,25,0,200,13.12,7/19/2023,Dplus KIA,Lose
Canyon,Vi,JUNGLE,15,4,5,2,1.2,208,193,6.7,11367,365,0.204,49,17,6,15,13,1.58,0.55,0.48,0.19,0.177,10504,9834,0,670,338,0.139,0.19,0.667,0,0,0,0,0,1018,-2,214,1,0,0,0,11502,0,31722,0,19,396,28620,148,18,35,0,300,13.12,7/19/2023,Dplus KIA,Lose
ShowMaker,LeBlanc,MID,16,0,4,3,0.8,294,0,9.5,11871,382,0.213,35,8,10,6,4,1.13,0.26,0.19,0.32,0.126,16135,3341,12794,0,519,0.214,0.1,0.333,0,0,0,0,0,419,-2,-146,0,0,3857,3857,5043,0,11860,0,7,23,23822,133,6,34,0,150,13.12,7/19/2023,Dplus KIA,Lose
Deft,Draven,ADC,15,3,3,3,2,294,5,9.5,13490,434,0.242,33,14,6,5,5,1.06,0.45,0.16,0.19,0.119,18368,18154,0,214,591,0.244,0.19,0.667,0,0,0,0,0,695,21,678,0,0,2040,2040,5921,0,9170,0,13,86,16104,89,6,21,0,250,13.12,7/19/2023,Dplus KIA,Lose
Kiin,Renekton,TOP,18,2,3,7,3,268,20,8.6,12264,394,0.197,37,12,9,6,5,1.19,0.39,0.19,0.29,0.15,13246,10738,2392,116,426,0.193,0.29,0.5,0,0,0,0,0,-812,-19,-617,0,0,1351,1351,11215,0,27862,0,13,75,34594,116,7,31,0,0,13.12,7/19/2023,KT,Win
Cuzz,Maokai,JUNGLE,15,2,1,11,13,167,130,5.4,10835,348,0.174,58,8,19,6,6,1.86,0.26,0.19,0.61,0.236,10841,1111,8856,874,349,0.158,0.42,0.722,0,0,0,0,0,-1018,2,-214,-1,0,0,0,17623,1981,31082,0,40,592,25602,37,7,22,150,0,13.12,7/19/2023,KT,Win
Bdd,Azir,MID,18,3,1,8,11,314,12,10.1,13932,448,0.223,30,13,7,4,4,0.96,0.42,0.13,0.23,0.122,20212,274,19872,66,650,0.295,0.35,0.611,0,0,0,0,0,-419,2,146,0,0,2322,2322,1507,0,15083,0,10,252,16765,47,6,25,400,0,13.12,7/19/2023,KT,Win
Aiming,Aphelios,ADC,17,11,1,2,13,327,40,10.5,17355,558,0.278,33,14,5,4,4,1.06,0.45,0.13,0.16,0.134,18738,18255,410,73,603,0.273,0.42,0.722,0,3,0,0,0,-695,-21,-678,0,0,15815,15815,5813,0,15772,0,6,172,10651,27,7,25,350,0,13.12,7/19/2023,KT,Win
Lehends,Alistar,SUPPORT,14,0,3,16,5.3,33,0,1.1,7998,257,0.128,88,50,7,17,17,2.83,1.61,0.55,0.23,0.358,5571,532,4115,924,179,0.081,0.51,0.889,0,0,0,0,0,-480,-8,-544,-1,0,0,0,7226,3291,25639,0,31,128,19508,82,19,32,0,0,13.12,7/19/2023,KT,Win
Canna,Rumble,TOP,15,1,3,3,1.3,216,16,6.0,10295,287,0.181,39,15,0,3,3,1.09,0.42,0.08,0.0,0.139,20195,421,19774,0,564,0.306,0.11,0.667,0,0,0,0,0,-501,-16,-567,0,0,328,328,1564,0,15266,0,11,245,14009,71,5,21,0,0,13.12,7/19/2023,Dplus KIA,Lose
Canyon,Nocturne,JUNGLE,14,1,3,1,0.7,184,171,5.1,10468,292,0.184,53,26,5,11,9,1.48,0.73,0.31,0.14,0.189,5877,4101,415,1361,164,0.089,0.06,0.333,0,0,0,0,0,-126,-9,-987,-1,0,0,0,17461,0,19572,0,82,494,30191,74,14,34,250,0,13.12,7/19/2023,Dplus KIA,Lose
ShowMaker,LeBlanc,MID,18,2,1,2,4,372,7,10.4,14606,408,0.257,38,7,11,3,3,1.06,0.2,0.08,0.31,0.136,25460,3216,21919,325,711,0.385,0.11,0.667,0,0,0,0,0,317,5,695,1,0,6182,6182,7135,0,11701,0,6,20,17312,0,4,28,0,250,13.12,7/19/2023,Dplus KIA,Lose
Deft,Aphelios,ADC,15,1,2,3,2,341,22,9.5,14210,397,0.25,49,15,14,5,4,1.37,0.42,0.14,0.39,0.175,11066,10630,436,0,309,0.167,0.11,0.667,0,0,0,0,0,328,18,105,0,0,1013,1013,3299,0,11220,0,9,163,9523,21,7,22,0,200,13.12,7/19/2023,Dplus KIA,Lose
Kiin,Renekton,TOP,18,7,0,2,Perfect KDA,304,18,8.5,14831,414,0.236,39,9,9,4,4,1.09,0.25,0.11,0.25,0.116,14045,12014,2031,0,392,0.253,0.25,0.692,0,1,1,0,0,501,16,567,0,0,4588,4588,16479,0,26790,0,10,31,32125,0,6,29,200,0,13.12,7/19/2023,KT,Win
Cuzz,Viego,JUNGLE,14,1,1,7,8,203,165,5.7,11131,311,0.177,75,10,25,11,8,2.09,0.28,0.31,0.7,0.223,8867,7659,576,632,247,0.159,0.22,0.615,0,0,0,0,0,126,9,987,1,0,0,0,18909,0,31567,0,6,263,28748,0,12,27,0,0,13.12,7/19/2023,KT,Win
Bdd,Twisted Fate,MID,17,2,1,5,7,298,1,8.3,14037,392,0.223,46,17,5,11,11,1.28,0.47,0.31,0.14,0.136,10542,2367,8175,0,294,0.19,0.2,0.538,0,0,0,0,0,-317,-5,-695,-1,0,4255,4255,4178,0,7079,0,21,125,12724,32,11,35,0,0,13.12,7/19/2023,KT,Win
Aiming,Ezreal,ADC,16,1,1,7,8,361,14,10.1,14793,413,0.235,67,19,15,8,8,1.87,0.53,0.22,0.42,0.199,18830,12028,6670,132,525,0.339,0.22,0.615,0,0,0,0,0,-328,-18,-105,0,0,5434,5434,5821,0,8485,0,3,200,14095,47,11,28,0,250,13.12,7/19/2023,KT,Win
Lehends,Nautilus,SUPPORT,13,2,3,9,3.7,39,0,1.1,8182,228,0.13,110,46,12,15,14,3.07,1.28,0.42,0.33,0.326,3312,594,2197,521,92,0.06,0.31,0.846,0,0,0,0,0,70,2,454,0,0,356,356,1483,0,24215,0,28,231,12782,85,18,32,250,0,13.12,7/19/2023,KT,Win
Kiin,K'Sante,TOP,16,1,1,14,15,230,0,8.6,10887,405,0.193,26,12,3,6,6,0.97,0.45,0.22,0.11,0.121,11321,9814,1194,313,422,0.171,0.56,0.833,0,0,0,0,0,-960,-14,-350,0,0,1551,1551,2656,0,21385,215,30,2572,13839,32,7,32,50,0,13.12,7/16/2023,KT,Win
Cuzz,Viego,JUNGLE,15,6,0,8,Perfect KDA,212,180,7.9,12258,457,0.217,57,12,16,11,10,2.12,0.45,0.41,0.6,0.265,12676,11368,532,776,472,0.192,0.52,0.778,0,0,0,0,0,990,27,678,1,0,634,634,17528,0,22677,0,9,301,22482,0,11,26,0,0,13.12,7/16/2023,KT,Win
Bdd,Azir,MID,17,4,0,6,Perfect KDA,285,8,10.6,12404,462,0.219,30,14,7,4,4,1.12,0.52,0.15,0.26,0.14,17286,185,17101,0,644,0.262,0.37,0.556,0,0,1,0,0,-621,-9,-453,0,0,8648,8648,1879,0,7113,0,8,175,11830,0,6,24,0,0,13.12,7/16/2023,KT,Win
Aiming,Kai'Sa,ADC,15,7,2,8,7.5,287,20,10.7,13896,518,0.246,24,9,9,0,0,0.89,0.34,0.0,0.34,0.112,22584,10312,12128,144,841,0.342,0.56,0.833,0,2,0,0,0,18,8,479,0,0,5956,5956,2283,0,8481,0,1,71,8878,54,1,18,0,50,13.12,7/16/2023,KT,Win
