Player,championName,teamPosition,champLevel,kills,deaths,assists,KDA 0.5,totalMinionsKilled,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,CSM,goldEarned,GPM,GOLD ratio,visionScore,wardsPlaced,wardsKilled,visionWardsBoughtInGame,detectorWardsPlaced,VSPM,WPM,VWPM,WCPM,VS ratio,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,DPM,DMG ratio,K+A Per Minute,KP ratio,doubleKills,tripleKills,quadraKills,pentaKills,GD@15,CSD@15,XPD@15,LVLD@15,objectivesStolen,damageDealtToTurrets,damageDealtToBuildings,totalHeal,totalHealsOnTeammates,damageSelfMitigated,totalDamageShieldedOnTeammates,timeCCingOthers,totalTimeCCDealt,trueDamageTaken,totalTimeSpentDead,consumablesPurchased,itemsPurchased,win
Ditto Dihoo,Yuumi,UTILITY,14,1,5,23,4.363636363636363,4,0,0,0.0024405125076266,7442,4.540573520439292,12.563094012188328,58,32,2,8,8,0.0353874313605857,0.0195241000610128,0.0048810250152532,0.0012202562538133,44.61538461538462,7557,268,7288,0,4.610738255033557,7.824925447316103,0.0146430750457596,68.57142857142857,0,0,0,0,3546,3,3869,-2,0,0,0,3626,3051,2427,6972,19,168,241,95,8,22,True
Ditto Dihoo,Seraphine,UTILITY,12,0,5,1,0.1818181818181818,17,0,0,0.0100532229450029,5498,3.251330573625074,11.629333502548809,66,33,8,7,6,0.039030159668835,0.0195150798344175,0.0035481963335304,0.0047309284447072,42.85714285714285,4111,493,3618,0,2.4311058545239503,6.067538447914514,0.0005913660555884,11.11111111111111,0,0,0,0,3041,7,4107,-2,0,252,252,584,119,4045,994,14,78,38,113,9,21,False
Ditto Dihoo,Yuumi,UTILITY,12,1,1,10,7.333333333333333,6,0,0,0.0045696877380045,6211,4.730388423457731,12.617828701446449,32,17,3,6,6,0.0243716679360243,0.0129474485910129,0.0045696877380045,0.0022848438690022,47.76119402985074,4584,212,4372,0,3.4912414318354914,5.129524981816147,0.0083777608530083,36.66666666666666,0,0,0,0,4179,4,5703,-1,0,316,316,4511,4148,1009,6615,14,142,0,30,6,17,True
Ditto Dihoo,Yuumi,UTILITY,14,1,4,23,5.333333333333333,4,0,0,0.0026075619295958,8323,5.425684485006519,13.924580070936225,45,22,1,7,6,0.029335071707953,0.014341590612777,0.0039113428943937,0.0006518904823989,50.56179775280899,7403,201,7202,0,4.825945241199478,6.59421903531822,0.0156453715775749,61.53846153846154,0,0,0,0,4691,2,6199,1,0,198,198,9171,8269,3756,9420,22,186,191,116,7,25,True
Ditto Dihoo,Yuumi,UTILITY,11,0,0,11,22.0,2,0,0,0.0015723270440251,5198,4.086477987421383,12.538292688810094,32,20,0,8,8,0.0251572327044025,0.0157232704402515,0.0062893081761006,0.0,39.50617283950617,3630,70,3559,0,2.85377358490566,6.675616529047207,0.0086477987421383,64.70588235294117,0,0,0,0,3264,2,4501,-1,0,859,859,2901,2589,609,3735,13,112,0,0,8,20,True
Ditto Dihoo,Yuumi,UTILITY,13,2,6,17,2.923076923076923,2,0,0,0.0011111111111111,8206,4.558888888888889,12.601544864018182,69,37,1,10,10,0.0383333333333333,0.0205555555555555,0.0055555555555555,0.0005555555555555,45.6953642384106,7137,298,6838,0,3.965,6.093021667491932,0.0105555555555555,61.29032258064516,0,0,0,0,3199,1,3077,-4,0,90,90,7183,6658,4489,6948,20,132,40,132,12,29,True
Ditto Dihoo,Yuumi,UTILITY,10,0,0,11,22.0,1,0,0,0.0009990009990009,5232,5.2267732267732265,13.984070134174372,21,15,0,5,4,0.0209790209790209,0.0149850149850149,0.0039960039960039,0.0,36.206896551724135,3780,36,3743,0,3.776223776223776,8.501833067182476,0.0109890109890109,64.70588235294117,0,0,0,0,4469,1,6243,2,0,511,511,2823,2739,433,2847,12,105,0,0,7,19,True
Ditto Dihoo,Lux,UTILITY,8,0,0,8,16.0,11,0,0,0.0112474437627811,5194,5.310838445807771,14.34449998619128,32,14,2,4,3,0.032719836400818,0.0143149284253578,0.0030674846625766,0.0020449897750511,45.07042253521127,5012,390,4622,0,5.124744376278119,13.05072388292886,0.0081799591002045,47.05882352941176,0,0,0,0,4672,10,4032,-3,0,1662,1662,294,122,1315,961,18,109,0,0,6,14,True
Ditto Dihoo,Lulu,UTILITY,13,0,6,12,1.8461538461538465,16,0,0,0.0089988751406074,7176,4.0359955005624295,12.028159570901776,96,39,15,8,8,0.0539932508436445,0.0219347581552305,0.0044994375703037,0.0084364454443194,51.891891891891895,4420,1163,3257,0,2.485939257592801,5.159151658048627,0.0067491563554555,63.1578947368421,0,0,0,0,3859,5,4267,-1,0,1388,1388,361,0,6309,3794,30,165,2727,140,10,24,True
Ditto Dihoo,Janna,UTILITY,12,0,3,19,5.428571428571429,8,0,0,0.0046838407494145,7264,4.252927400468384,12.15528781793842,86,40,7,9,9,0.050351288056206,0.0234192037470726,0.0052693208430913,0.0040983606557377,52.760736196319016,3052,952,2001,98,1.786885245901639,3.5667539267015704,0.0111241217798594,73.07692307692307,0,0,0,0,3468,2,3729,-1,0,570,570,4255,2341,6108,4605,40,172,13,65,11,27,True
Ditto Dihoo,Nami,UTILITY,10,1,8,4,0.5882352941176471,10,0,0,0.0073099415204678,5353,3.913011695906433,12.966910517901264,45,18,4,6,5,0.0328947368421052,0.0131578947368421,0.0036549707602339,0.0029239766081871,49.45054945054945,3250,428,2821,0,2.375730994152047,5.438784389852065,0.0036549707602339,31.25,0,0,0,0,3445,3,4397,-3,0,481,481,3789,2945,5697,800,14,88,44,186,8,22,False
