Player,championName,teamPosition,champLevel,kills,deaths,assists,KDA 0.5,totalMinionsKilled,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,CSM,goldEarned,GPM,GOLD ratio,visionScore,wardsPlaced,wardsKilled,visionWardsBoughtInGame,detectorWardsPlaced,VSPM,WPM,VWPM,WCPM,VS ratio,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,DPM,DMG ratio,K+A Per Minute,KP ratio,doubleKills,tripleKills,quadraKills,pentaKills,GD@15,CSD@15,XPD@15,LVLD@15,objectivesStolen,damageDealtToTurrets,damageDealtToBuildings,totalHeal,totalHealsOnTeammates,damageSelfMitigated,totalDamageShieldedOnTeammates,timeCCingOthers,totalTimeCCDealt,trueDamageTaken,totalTimeSpentDead,consumablesPurchased,itemsPurchased,win
ZED03,Zed,MIDDLE,18,14,4,8,4.888888888888889,256,4,4,0.12942366026289182,18122,9.161779575328614,25.880067977664485,29,9,1,2,2,0.014661274014155713,0.00455005055611729,0.0010111223458038423,0.0005055611729019212,16.86046511627907,35966,33594,2325,46,18.183013144590497,26.18947061821889,0.011122345803842264,61.111111111111114,2,2,0,0,3970,22,4248,0,0,6083,6083,7453,0,17488,0,13,209,2382,162,5,25,True
Blissful Moment,Xayah,BOTTOM,16,6,8,7,1.5294117647058822,200,16,0,0.10111223458038422,13570,6.8604651162790695,19.379346786056008,26,11,5,4,3,0.01314459049544995,0.005561172901921132,0.0015166835187057635,0.0025278058645096056,15.11627906976744,15581,15296,56,228,7.877148634984833,11.345663729702176,0.006572295247724975,36.11111111111111,1,1,0,0,3970,22,4248,0,0,4844,4844,3923,381,8798,0,10,85,938,186,5,26,True
이쁜ID,MissFortune,UTILITY,14,1,7,12,1.7333333333333334,53,0,0,0.02679474216380182,8978,4.538928210313448,12.821501506647815,87,34,12,7,7,0.04398382204246714,0.017189079878665317,0.003538928210313448,0.006066734074823054,50.58139534883721,17369,4087,11056,2225,8.781092012133469,12.647637078569868,0.006572295247724975,36.11111111111111,0,0,0,0,3970,22,4248,0,0,2165,2165,1515,0,8831,0,11,161,977,194,9,23,True
효 담,Fiora,TOP,16,1,6,3,0.6153846153846154,206,4,0,0.10414560161779575,11037,5.579878665318503,18.397759663949593,15,8,1,0,0,0.007583417593528817,0.004044489383215369,0.0,0.0005055611729019212,10.0,18684,12711,785,5187,9.445904954499495,16.78314140452365,0.0020222446916076846,15.384615384615385,0,0,0,0,3970,22,4248,0,0,2097,2097,15239,2132,31025,0,6,118,5464,212,2,23,False
all mute 15FF,Hecarim,JUNGLE,18,12,7,7,2.533333333333333,51,174,21,0.02578361981799798,15114,7.641051567239636,25.193779066860028,24,4,1,4,3,0.012133468149646108,0.0020222446916076846,0.0015166835187057635,0.0005055611729019212,16.0,38663,32616,4404,1642,19.546511627906977,34.729533083017444,0.009605662285136502,73.07692307692307,1,0,0,0,3970,22,4248,0,0,0,0,30205,0,49049,0,28,366,3415,240,5,26,False
박효신8집내라,Katarina,MIDDLE,15,7,9,0,0.7368421052631579,218,0,0,0.1102123356926188,13006,6.575328614762387,21.679918654464835,9,4,1,1,1,0.00455005055611729,0.0020222446916076846,0.0005055611729019212,0.0005055611729019212,6.0,20550,766,18049,1735,10.389282103134478,18.459299714352444,0.003538928210313448,26.923076923076923,1,0,0,0,3970,22,4248,0,0,1395,1395,2374,0,17792,0,0,23,1674,289,1,16,False
박제영자댕,Ashe,BOTTOM,14,4,7,8,1.6,223,0,0,0.11274014155712841,12508,6.323559150657229,20.849794135787032,27,11,3,0,0,0.013650151668351871,0.005561172901921132,0.0,0.0015166835187057635,18.0,16190,14034,1837,318,8.185035389282103,14.542874081526328,0.006066734074823054,46.15384615384615,0,0,0,0,3970,22,4248,0,0,3530,3530,2859,0,12028,0,54,715,1947,244,2,25,False
다이브 각임 오셈,Shen,UTILITY,13,2,7,13,2.0,37,0,0,0.01870576339737108,8326,4.209302325581396,13.878748478938508,75,34,9,5,4,0.037917087967644085,0.017189079878665317,0.0020222446916076846,0.00455005055611729,50.0,17239,9336,5811,2091,8.715369059656219,15.485151716580134,0.007583417593528817,57.692307692307686,0,0,0,0,3970,22,4248,0,0,1077,1077,3045,0,44187,3555,37,125,3207,191,7,23,False
장어즙,Malphite,TOP,16,5,6,12,2.6153846153846154,159,0,0,0.07993966817496229,11884,5.974861739567622,17.887622860755304,29,7,4,3,3,0.014580191050779286,0.003519356460532931,0.0015082956259426848,0.002011060834590246,16.57142857142857,28807,11469,17034,303,14.483157365510307,22.512503907471086,0.008547008547008548,38.63636363636363,0,0,0,0,6234,25,4565,1,0,4974,4974,5550,0,90511,0,58,2193,2739,239,4,23,False
씨 VAR,Taliyah,JUNGLE,16,8,14,15,1.5862068965517242,16,115,0,0.008044243338360985,12928,6.499748617395676,19.45903638033024,15,5,2,2,2,0.007541478129713424,0.002513826043237808,0.001005530417295123,0.001005530417295123,8.571428571428571,26342,1743,22179,2419,13.243841126194067,20.586120662707096,0.011563599798893917,52.27272727272727,1,0,0,0,6234,25,4565,1,0,0,0,6579,0,22404,0,38,695,1309,421,3,27,False
